time,x,y,theta,v_body,omega,vx_world,vy_world
0.000000,4.990000,5.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.444444,5.023332,5.000000,0.121799,0.149995,0.548095,0.148884,0.018224
0.888889,5.089451,5.009026,0.317588,0.149999,0.332958,0.142497,0.046841
1.333333,5.152149,5.031835,0.378464,0.149997,-0.059016,0.139382,0.055423
1.777778,5.182082,5.044212,0.410985,-0.002395,0.205360,-0.002196,-0.000957
2.222222,5.212021,5.057429,0.477051,0.149998,0.091935,0.133251,0.068873
2.666667,5.270993,5.088836,0.489636,0.149998,-0.035302,0.132374,0.070545
3.111111,5.329411,5.121402,0.472758,0.149997,-0.040648,0.133545,0.068300
3.555556,5.388252,5.153150,0.468232,0.149997,0.020279,0.133853,0.067695
4.000000,5.417867,5.168533,0.472738,-0.000000,0.000000,-0.000000,-0.000000
4.000000,5.417867,5.168533,0.472738,0.000000,0.000000,0.000000,0.000000
4.444444,5.447550,5.183657,0.250517,0.150000,-0.999996,0.145317,0.037186
4.888889,5.512153,5.200061,-0.087453,0.150000,-0.520869,0.149426,-0.013101
5.333333,5.578562,5.194252,-0.041287,0.150000,0.728615,0.149872,-0.006191
5.777778,5.645169,5.191495,0.206673,0.150000,0.387207,0.146808,0.030781
6.222222,5.710417,5.205175,0.309622,0.150000,0.076063,0.142867,0.045705
6.666667,5.773913,5.225488,0.339925,0.150000,0.060301,0.141417,0.050012
7.111111,5.836765,5.247716,0.347780,0.150000,-0.024953,0.141019,0.051122
7.555556,5.899440,5.270437,0.349658,0.150000,0.033403,0.140923,0.051386
8.000000,5.930756,5.281856,0.357081,-0.000000,0.000000,-0.000000,-0.000000
8.000000,6.932254,5.648968,0.350960,0.000000,0.000000,0.000000,0.000000
8.444444,6.963555,5.660428,0.128751,0.149999,-0.999941,0.148758,0.019259
8.888889,7.029670,5.668987,-0.248423,0.149999,-0.697343,0.145395,-0.036881
9.333333,7.094289,5.652596,-0.487779,0.149999,-0.379759,0.132506,-0.070300
9.777778,7.153176,5.621357,-0.610681,0.150000,-0.173297,0.122888,-0.086013
10.222222,7.207781,5.583149,-0.666382,0.150000,-0.077362,0.117909,-0.092722
10.666667,7.260163,5.541980,-0.690100,0.150000,-0.029368,0.115677,-0.095492
11.111111,7.311545,5.499598,-0.698777,0.150000,-0.009677,0.114844,-0.096492
11.555556,7.362552,5.456784,-0.700515,0.150000,0.001852,0.114676,-0.096691
12.000000,7.388026,5.435316,-0.700104,-0.000000,0.000000,-0.000000,0.000000
12.000000,7.882378,5.474577,0.419345,0.000000,-0.000000,0.000000,0.000000
12.444444,7.912823,5.488150,0.197124,0.149999,-0.999994,0.147095,0.029377
12.888889,7.978198,5.501206,-0.227169,0.150000,-0.909324,0.146146,-0.033783
13.333333,8.043152,5.486192,-0.520460,0.150000,-0.410484,0.130138,-0.074592
13.777778,8.100991,5.453040,-0.638494,0.150000,-0.120672,0.120449,-0.089398
14.222222,8.154522,5.413310,-0.674357,0.150000,-0.040708,0.117166,-0.093659
14.666667,8.206592,5.371691,-0.683747,0.150000,-0.001549,0.116281,-0.094755
15.111111,8.258265,5.329589,-0.685278,0.150000,-0.005340,0.116136,-0.094933
15.555556,8.309872,5.287412,-0.685038,0.150000,0.006422,0.116159,-0.094905
16.000000,8.335683,5.266326,-0.683611,-0.000000,0.000000,-0.000000,0.000000
16.000000,8.335683,5.266326,-0.683611,0.000000,0.000000,0.000000,-0.000000
16.444444,8.361524,5.245277,-0.506609,0.149999,0.796509,0.131159,-0.072782
16.888889,8.419810,5.212938,-0.128394,0.150000,0.905457,0.148765,-0.019206
17.333333,8.485925,5.204404,0.186690,0.149999,0.512423,0.147393,0.027841
17.777778,8.551433,5.216777,0.359591,0.150000,0.265632,0.140406,0.052784
18.222222,8.613836,5.240237,0.429344,0.149999,0.048255,0.136385,0.062441
18.666667,8.674452,5.267988,0.453886,0.149999,0.062186,0.134812,0.065769
19.111111,8.734368,5.297219,0.462257,0.149999,-0.024518,0.134257,0.066895
19.555556,8.794038,5.326950,0.464638,0.149999,0.035232,0.134097,0.067215
20.000000,8.823837,5.341887,0.472468,0.000000,0.000000,0.000000,0.000000
20.000000,8.823837,5.341887,0.472468,0.000000,-0.000000,0.000000,0.000000
20.444444,8.853518,5.357056,0.469529,0.149998,-0.013223,0.133766,0.067869
20.888889,8.912970,5.387220,0.466935,0.149999,0.001548,0.133942,0.067522
21.333333,8.972500,5.417230,0.467372,0.149999,0.000418,0.133913,0.067581
21.777778,9.032017,5.447266,0.467532,0.149999,0.000302,0.133902,0.067602
22.222222,9.091529,5.477312,0.467586,0.149999,-0.000057,0.133898,0.067610
22.666667,9.151039,5.507360,0.467602,0.149999,0.000127,0.133897,0.067612
23.111111,9.210549,5.537410,0.467603,0.149999,-0.000120,0.133897,0.067612
