time,x,y,theta,v_body,omega,vx_world,vy_world
0.000000,2.000000,10.600000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000
0.444444,2.025447,10.599522,0.266665,0.110000,1.199994,0.106112,0.028987
0.888889,2.086365,10.614173,0.723125,0.161321,0.854074,0.120949,0.106751
1.333333,2.150062,10.669237,0.936711,0.219999,0.107062,0.130337,0.177235
1.777778,2.206460,10.746536,0.994514,0.220000,0.153055,0.119880,0.184469
2.222222,2.257853,10.826765,1.038761,0.220000,0.046053,0.111603,0.189590
2.666667,2.305463,10.909117,1.079995,0.220000,0.139502,0.103693,0.194030
3.111111,2.349540,10.993337,1.122634,0.220000,0.052373,0.095328,0.198274
3.555556,2.389903,11.079354,1.159774,0.220000,0.114760,0.087900,0.201677
4.000000,2.408949,11.123645,1.185276,0.000000,0.000000,0.000000,0.000000
4.000000,2.408949,11.123645,1.185276,-0.000000,-0.000000,-0.000000,-0.000000
4.444444,2.426859,11.168420,0.918940,0.220000,-1.198516,0.133466,0.174891
4.888889,2.486311,11.246225,0.428812,0.219998,-1.007056,0.200080,0.091473
5.333333,2.577067,11.287457,0.103113,0.219999,-0.458591,0.218831,0.022645
5.777778,2.674578,11.297583,-0.054961,0.219999,-0.252743,0.219667,-0.012085
6.222222,2.772211,11.292212,-0.136345,0.219999,-0.113484,0.217957,-0.029903
6.666667,2.869214,11.278949,-0.175304,0.219999,-0.061831,0.216627,-0.038369
7.111111,2.965796,11.261958,-0.185298,0.219999,0.016859,0.216233,-0.040532
7.555556,3.062314,11.244031,-0.141588,0.219999,0.179833,0.217798,-0.031045
8.000000,3.110740,11.237138,-0.101625,0.000000,0.000000,0.000000,-0.000000
8.000000,3.110740,11.237138,-0.101625,0.000000,0.000000,0.000000,-0.000000
8.444444,3.159377,11.232178,-0.092572,0.219999,0.040738,0.219057,-0.020337
8.888889,3.256736,11.223139,-0.078839,0.219999,0.021063,0.219316,-0.017327
9.333333,3.354219,11.215441,-0.071816,0.219999,0.010541,0.219432,-0.015786
9.777778,3.451751,11.208426,-0.068200,0.219999,0.005732,0.219488,-0.014992
10.222222,3.549306,11.201764,-0.066190,0.219999,0.003312,0.219517,-0.014551
10.666667,3.646873,11.195298,-0.064983,0.219999,0.002118,0.219535,-0.014286
11.111111,3.744446,11.188949,-0.064173,0.219999,0.001530,0.219546,-0.014108
11.555556,3.842025,11.182679,-0.063759,0.219999,0.000331,0.219552,-0.014017
12.000000,3.890815,11.179564,-0.063686,0.000000,0.000000,0.000000,-0.000000
12.000000,3.890815,11.179564,-0.063686,-0.000000,-0.000000,-0.000000,0.000000
12.444444,3.939605,11.176453,-0.061598,0.219999,0.009393,0.219582,-0.013543
12.888889,4.037198,11.170434,-0.058180,0.219999,0.005990,0.219627,-0.012792
13.333333,4.134811,11.164749,-0.056086,0.219999,0.003435,0.219653,-0.012332
13.777778,4.232435,11.159268,-0.054888,0.219999,0.001955,0.219668,-0.012069
14.222222,4.330065,11.153904,-0.054207,0.219999,0.001108,0.219676,-0.011920
14.666667,4.427699,11.148606,-0.053824,0.219999,0.000616,0.219681,-0.011835
15.111111,4.525335,11.143346,-0.053613,0.219999,0.000333,0.219683,-0.011789
15.555556,4.622972,11.138106,-0.053527,0.219999,0.000051,0.219684,-0.011770
16.000000,4.671791,11.135491,-0.053516,0.000000,0.000000,0.000000,-0.000000
16.000000,4.671791,11.135491,-0.053516,-0.000000,0.000000,-0.000000,0.000000
16.444444,4.720609,11.132876,-0.053494,0.219999,0.000100,0.219684,-0.011763
16.888889,4.818247,11.127648,-0.053510,0.219999,-0.000172,0.219684,-0.011767
17.333333,4.915885,11.122418,-0.053583,0.219999,-0.000156,0.219683,-0.011783
17.777778,5.013522,11.117181,-0.053631,0.219999,-0.000060,0.219683,-0.011793
18.222222,5.111159,11.111940,-0.053635,0.219999,0.000041,0.219683,-0.011794
18.666667,5.208796,11.106698,-0.053591,0.219999,0.000158,0.219683,-0.011784
19.111111,5.306433,11.101461,-0.053492,0.219999,0.000287,0.219685,-0.011763
19.555556,5.404071,11.096233,-0.053412,0.219999,0.000074,0.219685,-0.011745
20.000000,5.452890,11.093623,-0.053396,0.000000,0.000000,0.000000,-0.000000
20.000000,5.576215,11.914817,2.228516,0.000000,-0.000000,-0.000000,0.000000
