time,x,y,vx,vy,speed
0.000000,15.786670,9.533332,0.000000,0.000000,0.000000
0.444444,15.753337,9.499999,-0.150000,-0.149999,0.212131
0.888889,15.686670,9.433333,-0.150000,-0.149999,0.212131
1.333333,15.620004,9.366667,-0.150000,-0.149999,0.212131
1.777778,15.553337,9.300001,-0.150000,-0.149999,0.212131
2.222222,15.486671,9.233334,-0.150000,-0.149999,0.212131
2.666667,15.420004,9.166668,-0.150000,-0.149999,0.212131
3.111111,15.353338,9.100002,-0.150000,-0.149999,0.212131
3.555556,15.286671,9.033336,-0.150000,-0.149999,0.212131
4.000000,15.253338,9.000003,-0.000000,0.000000,0.000000
4.000000,14.720007,9.533328,0.000000,-0.000000,0.000000
4.444444,14.690497,9.499995,-0.132794,-0.149999,0.200335
4.888889,14.629369,9.433328,-0.142283,-0.149999,0.206747
5.333333,14.565868,9.366662,-0.143470,-0.149999,0.207565
5.777778,14.502044,9.299995,-0.143739,-0.149999,0.207752
6.222222,14.438155,9.233329,-0.143761,-0.149999,0.207767
6.666667,14.374265,9.166663,-0.143747,-0.149999,0.207757
7.111111,14.310528,9.099996,-0.143068,-0.149999,0.207288
7.555556,14.246789,9.033330,-0.143755,-0.149999,0.207763
8.000000,14.214844,8.999997,0.000000,0.000000,0.000000
8.000000,14.214844,8.999997,0.000000,0.000000,0.000000
8.444444,14.181527,8.966663,-0.149927,-0.150000,0.212080
8.888889,14.114891,8.899997,-0.149934,-0.150000,0.212085
9.333333,14.048253,8.833331,-0.149934,-0.150000,0.212085
9.777778,13.981616,8.766664,-0.149935,-0.150000,0.212085
10.222222,13.914978,8.699998,-0.149934,-0.150000,0.212085
10.666667,13.848341,8.633331,-0.149935,-0.150000,0.212085
11.111111,13.781704,8.566665,-0.149934,-0.150000,0.212085
11.555556,13.715066,8.499998,-0.149935,-0.150000,0.212086
12.000000,13.681747,8.466665,0.000000,-0.000000,0.000000
12.000000,13.681747,8.466665,-0.000000,0.000000,0.000000
12.444444,13.648414,8.433332,-0.150000,-0.149999,0.212131
12.888889,13.581748,8.366666,-0.150000,-0.149999,0.212131
13.333333,13.515081,8.300000,-0.150000,-0.149999,0.212131
13.777778,13.448415,8.233334,-0.150000,-0.149999,0.212131
14.222222,13.381748,8.166667,-0.150000,-0.149999,0.212131
14.666667,13.315082,8.100001,-0.150000,-0.149999,0.212131
15.111111,13.248415,8.033335,-0.150000,-0.149999,0.212131
15.555556,13.181749,7.966669,-0.150000,-0.149999,0.212131
16.000000,13.148415,7.933336,0.000000,-0.000000,0.000000
16.000000,13.148415,7.933336,0.000000,-0.000000,0.000000
16.444444,13.115082,7.900003,-0.150000,-0.149999,0.212131
16.888889,13.048416,7.833337,-0.150000,-0.149999,0.212131
17.333333,12.981749,7.766670,-0.150000,-0.149999,0.212131
17.777778,12.915083,7.700004,-0.150000,-0.149999,0.212131
18.222222,12.848416,7.633338,-0.150000,-0.149999,0.212131
18.666667,12.781750,7.566671,-0.150000,-0.149999,0.212131
19.111111,12.715083,7.500005,-0.150000,-0.149999,0.212131
19.555556,12.648417,7.433338,-0.150000,-0.149999,0.212131
20.000000,12.615083,7.400005,-0.000000,-0.000000,0.000000
20.000000,12.081752,6.866677,0.000000,-0.000000,0.000000
20.444444,12.115080,6.833344,0.149976,-0.150000,0.212115
20.888889,12.181736,6.766677,0.149977,-0.150000,0.212115
