time,x,y,vx,vy,speed
0.000000,9.904068,2.830612,0.000000,0.000000,0.000000
0.050000,9.904181,2.833109,0.004509,0.099898,0.100000
0.100000,9.904491,2.839977,0.006763,0.149847,0.150000
0.150000,9.904829,2.847470,0.006763,0.149847,0.150000
0.200000,9.905167,2.854962,0.006763,0.149847,0.150000
0.250000,9.905505,2.862454,0.006763,0.149847,0.150000
0.300000,9.905844,2.869947,0.006763,0.149847,0.150000
0.350000,9.906182,2.877439,0.006763,0.149847,0.150000
0.400000,9.906520,2.884932,0.006763,0.149847,0.150000
0.450000,9.906858,2.892424,0.006763,0.149847,0.150000
0.500000,9.907196,2.899916,0.006763,0.149847,0.150000
0.550000,9.907534,2.907409,0.006763,0.149847,0.150000
0.600000,9.907872,2.914901,0.006763,0.149847,0.150000
0.650000,9.908211,2.922393,0.006763,0.149847,0.150000
0.700000,9.908549,2.929886,0.006763,0.149847,0.150000
0.750000,9.908887,2.937378,0.006763,0.149847,0.150000
0.800000,9.909225,2.944871,0.006763,0.149847,0.150000
0.850000,9.909563,2.952363,0.006763,0.149847,0.150000
0.900000,9.909901,2.959855,0.006763,0.149847,0.150000
0.950000,9.910240,2.967348,0.006763,0.149847,0.150000
1.000000,9.910578,2.974840,0.006763,0.149847,0.150000
1.050000,9.910916,2.982332,0.006763,0.149847,0.150000
1.100000,9.911254,2.989825,0.006763,0.149847,0.150000
1.150000,9.911592,2.997317,0.006763,0.149847,0.150000
1.200000,9.911930,3.004810,0.006763,0.149847,0.150000
1.250000,9.912268,3.012302,0.006763,0.149847,0.150000
1.300000,9.912607,3.019794,0.006763,0.149847,0.150000
1.350000,9.912945,3.027287,0.006763,0.149847,0.150000
1.400000,9.913283,3.034779,0.006763,0.149847,0.150000
1.450000,9.913621,3.042271,0.006763,0.149847,0.150000
1.500000,9.913959,3.049764,0.006763,0.149847,0.150000
1.550000,9.914297,3.057256,0.006763,0.149847,0.150000
1.600000,9.914636,3.064748,0.006763,0.149847,0.150000
1.650000,9.914974,3.072241,0.006763,0.149847,0.150000
1.700000,9.915312,3.079733,0.006763,0.149847,0.150000
1.750000,9.915650,3.087226,0.006763,0.149847,0.150000
1.800000,9.915988,3.094718,0.006763,0.149847,0.150000
1.850000,9.916326,3.102210,0.006763,0.149847,0.150000
1.900000,9.916664,3.109703,0.006763,0.149847,0.150000
1.950000,9.917003,3.117195,0.006763,0.149847,0.150000
2.000000,9.917341,3.124687,0.006763,0.149847,0.150000
2.050000,9.917679,3.132180,0.006763,0.149847,0.150000
2.100000,9.918017,3.139672,0.006763,0.149847,0.150000
2.150000,9.918355,3.147165,0.006763,0.149847,0.150000
2.200000,9.918693,3.154657,0.006763,0.149847,0.150000
2.250000,9.919032,3.162149,0.006763,0.149847,0.150000
2.300000,9.919370,3.169642,0.006763,0.149847,0.150000
2.350000,9.919708,3.177134,0.006763,0.149847,0.150000
2.400000,9.920046,3.184626,0.006763,0.149847,0.150000
2.450000,9.920384,3.192119,0.006763,0.149847,0.150000
2.500000,9.920722,3.199611,0.006763,0.149847,0.150000
2.550000,9.921060,3.207104,0.006763,0.149847,0.150000
2.600000,9.921399,3.214596,0.006763,0.149847,0.150000
2.650000,9.921737,3.222088,0.006763,0.149847,0.150000
2.700000,9.922075,3.229581,0.006763,0.149847,0.150000
2.750000,9.922413,3.237073,0.006763,0.149847,0.150000
2.800000,9.922751,3.244565,0.006763,0.149847,0.150000
2.850000,9.923089,3.252058,0.006763,0.149847,0.150000
2.900000,9.923427,3.259550,0.006763,0.149847,0.150000
2.950000,9.923766,3.267043,0.006763,0.149847,0.150000
3.000000,9.924104,3.274535,0.006763,0.149847,0.150000
3.050000,9.924442,3.282027,0.006763,0.149847,0.150000
3.100000,9.924780,3.289520,0.006763,0.149847,0.150000
3.150000,9.925118,3.297012,0.006763,0.149847,0.150000
3.200000,9.925456,3.304504,0.006763,0.149847,0.150000
3.250000,9.925795,3.311997,0.006763,0.149847,0.150000
3.300000,9.926133,3.319489,0.006763,0.149847,0.150000
3.350000,9.926458,3.326704,0.005260,0.116548,0.116667
3.400000,9.926609,3.330034,0.000751,0.016650,0.016667
3.408333,9.926612,3.330103,0.000000,0.000000,0.000000
3.408333,10.104909,4.298174,0.000000,0.000000,0.000000
3.458333,10.104890,4.300674,-0.000766,0.099997,0.100000
3.508333,10.104838,4.307548,-0.001148,0.149996,0.150000
3.558333,10.104780,4.315048,-0.001148,0.149996,0.150000
3.608333,10.104723,4.322548,-0.001148,0.149996,0.150000
3.658333,10.104665,4.330048,-0.001148,0.149996,0.150000
3.708333,10.104608,4.337547,-0.001148,0.149996,0.150000
3.758333,10.104551,4.345047,-0.001148,0.149996,0.150000
3.808333,10.104493,4.352547,-0.001148,0.149996,0.150000
3.858333,10.104436,4.360047,-0.001148,0.149996,0.150000
3.908333,10.104378,4.367547,-0.001148,0.149996,0.150000
3.958333,10.104321,4.375046,-0.001148,0.149996,0.150000
4.008333,10.104263,4.382546,-0.001148,0.149996,0.150000
4.058333,10.104206,4.390046,-0.001148,0.149996,0.150000
4.108333,10.104149,4.397546,-0.001148,0.149996,0.150000
4.158333,10.104091,4.405046,-0.001148,0.149996,0.150000
4.208333,10.104034,4.412545,-0.001148,0.149996,0.150000
4.258333,10.103976,4.420045,-0.001148,0.149996,0.150000
4.308333,10.103919,4.427545,-0.001148,0.149996,0.150000
4.358333,10.103861,4.435045,-0.001148,0.149996,0.150000
4.408333,10.103804,4.442544,-0.001148,0.149996,0.150000
4.458333,10.103747,4.450044,-0.001148,0.149996,0.150000
4.508333,10.103689,4.457544,-0.001148,0.149996,0.150000
4.558333,10.103632,4.465044,-0.001148,0.149996,0.150000
4.608333,10.103574,4.472544,-0.001148,0.149996,0.150000
4.658333,10.103517,4.480043,-0.001148,0.149996,0.150000
4.708333,10.103459,4.487543,-0.001148,0.149996,0.150000
4.758333,10.103402,4.495043,-0.001148,0.149996,0.150000
4.808333,10.103345,4.502543,-0.001148,0.149996,0.150000
4.858333,10.103287,4.510042,-0.001148,0.149996,0.150000
4.908333,10.103230,4.517542,-0.001148,0.149996,0.150000
4.958333,10.103172,4.525042,-0.001148,0.149996,0.150000
5.008333,10.103115,4.532542,-0.001148,0.149996,0.150000
5.058333,10.103058,4.540042,-0.001148,0.149996,0.150000
5.108333,10.103000,4.547541,-0.001148,0.149996,0.150000
5.158333,10.102943,4.555041,-0.001148,0.149996,0.150000
5.208333,10.102885,4.562541,-0.001148,0.149996,0.150000
5.258333,10.102828,4.570041,-0.001148,0.149996,0.150000
5.308333,10.102770,4.577540,-0.001148,0.149996,0.150000
5.358333,10.102713,4.585040,-0.001148,0.149996,0.150000
5.408333,10.102656,4.592540,-0.001148,0.149996,0.150000
5.458333,10.102598,4.600040,-0.001148,0.149996,0.150000
5.508333,10.102541,4.607540,-0.001148,0.149996,0.150000
5.558333,10.102483,4.615039,-0.001148,0.149996,0.150000
5.608333,10.102426,4.622539,-0.001148,0.149996,0.150000
5.658333,10.102368,4.630039,-0.001148,0.149996,0.150000
5.708333,10.102311,4.637539,-0.001148,0.149996,0.150000
5.758333,10.102254,4.645038,-0.001148,0.149996,0.150000
5.808333,10.102196,4.652538,-0.001148,0.149996,0.150000
5.858333,10.102139,4.660038,-0.001148,0.149996,0.150000
5.908333,10.102081,4.667538,-0.001148,0.149996,0.150000
5.958333,10.102024,4.675038,-0.001148,0.149996,0.150000
6.008333,10.101966,4.682537,-0.001148,0.149996,0.150000
6.058333,10.101909,4.690037,-0.001148,0.149996,0.150000
6.108333,10.101852,4.697537,-0.001148,0.149996,0.150000
6.158333,10.101794,4.705037,-0.001148,0.149996,0.150000
6.208333,10.101737,4.712537,-0.001148,0.149996,0.150000
6.258333,10.101679,4.720036,-0.001148,0.149996,0.150000
6.308333,10.101622,4.727536,-0.001148,0.149996,0.150000
6.358333,10.101565,4.735036,-0.001148,0.149996,0.150000
6.408333,10.101507,4.742536,-0.001148,0.149996,0.150000
6.458333,10.101450,4.750035,-0.001148,0.149996,0.150000
6.508333,10.101392,4.757535,-0.001148,0.149996,0.150000
6.558333,10.101335,4.765035,-0.001148,0.149996,0.150000
6.608333,10.101277,4.772535,-0.001148,0.149996,0.150000
6.658333,10.101220,4.780035,-0.001148,0.149996,0.150000
6.708333,10.101163,4.787534,-0.001148,0.149996,0.150000
6.758333,10.101107,4.794756,-0.000893,0.116663,0.116667
6.808333,10.101082,4.798090,-0.000128,0.016666,0.016667
6.816667,10.101081,4.798159,0.000000,0.000000,0.000000
6.816667,10.486576,5.590873,0.000000,0.000000,0.000000
6.866667,10.486350,5.593362,-0.009046,0.099590,0.100000
6.916667,10.485728,5.600209,-0.013569,0.149385,0.150000
6.966667,10.485049,5.607678,-0.013569,0.149385,0.150000
7.016667,10.484371,5.615148,-0.013569,0.149385,0.150000
7.066667,10.483692,5.622617,-0.013569,0.149385,0.150000
7.116667,10.483014,5.630086,-0.013569,0.149385,0.150000
7.166667,10.482335,5.637555,-0.013569,0.149385,0.150000
7.216667,10.481657,5.645025,-0.013569,0.149385,0.150000
7.266667,10.480978,5.652494,-0.013569,0.149385,0.150000
7.316667,10.480300,5.659963,-0.013569,0.149385,0.150000
7.366667,10.479621,5.667432,-0.013569,0.149385,0.150000
7.416667,10.478943,5.674902,-0.013569,0.149385,0.150000
7.466667,10.478264,5.682371,-0.013569,0.149385,0.150000
7.516667,10.477586,5.689840,-0.013569,0.149385,0.150000
7.566667,10.476907,5.697309,-0.013569,0.149385,0.150000
7.616667,10.476229,5.704779,-0.013569,0.149385,0.150000
7.666667,10.475550,5.712248,-0.013569,0.149385,0.150000
7.716667,10.474872,5.719717,-0.013569,0.149385,0.150000
7.766667,10.474194,5.727186,-0.013569,0.149385,0.150000
7.816667,10.473515,5.734656,-0.013569,0.149385,0.150000
7.866667,10.472837,5.742125,-0.013569,0.149385,0.150000
7.916667,10.472158,5.749594,-0.013569,0.149385,0.150000
7.966667,10.471480,5.757063,-0.013569,0.149385,0.150000
8.016667,10.470801,5.764533,-0.013569,0.149385,0.150000
8.066667,10.470123,5.772002,-0.013569,0.149385,0.150000
8.116667,10.469444,5.779471,-0.013569,0.149385,0.150000
8.166667,10.468766,5.786940,-0.013569,0.149385,0.150000
8.216667,10.468087,5.794410,-0.013569,0.149385,0.150000
8.266667,10.467409,5.801879,-0.013569,0.149385,0.150000
8.316667,10.466730,5.809348,-0.013569,0.149385,0.150000
8.366667,10.466052,5.816817,-0.013569,0.149385,0.150000
8.416667,10.465373,5.824287,-0.013569,0.149385,0.150000
8.466667,10.464695,5.831756,-0.013569,0.149385,0.150000
8.516667,10.464016,5.839225,-0.013569,0.149385,0.150000
8.566667,10.463338,5.846694,-0.013569,0.149385,0.150000
8.616667,10.462659,5.854164,-0.013569,0.149385,0.150000
8.666667,10.461981,5.861633,-0.013569,0.149385,0.150000
8.716667,10.461303,5.869102,-0.013569,0.149385,0.150000
8.766667,10.460624,5.876571,-0.013569,0.149385,0.150000
8.816667,10.459946,5.884041,-0.013569,0.149385,0.150000
8.866667,10.459267,5.891510,-0.013569,0.149385,0.150000
8.916667,10.458589,5.898979,-0.013569,0.149385,0.150000
8.966667,10.457910,5.906448,-0.013569,0.149385,0.150000
9.016667,10.457232,5.913918,-0.013569,0.149385,0.150000
9.066667,10.456553,5.921387,-0.013569,0.149385,0.150000
9.116667,10.455875,5.928856,-0.013569,0.149385,0.150000
9.166667,10.455196,5.936325,-0.013569,0.149385,0.150000
9.216667,10.454518,5.943795,-0.013569,0.149385,0.150000
9.266667,10.453839,5.951264,-0.013569,0.149385,0.150000
9.316667,10.453161,5.958733,-0.013569,0.149385,0.150000
9.366667,10.452482,5.966202,-0.013569,0.149385,0.150000
9.416667,10.451804,5.973672,-0.013569,0.149385,0.150000
9.466667,10.451125,5.981141,-0.013569,0.149385,0.150000
9.516667,10.450447,5.988610,-0.013569,0.149385,0.150000
