time,x,y,theta,v,omega
0.000000,17.000000,3.000000,0.000000,0.000000,-0.200000
0.832436,16.505644,2.928764,-3.063979,0.000000,-2.500000
2.482361,15.527011,3.078052,2.789077,0.800000,-0.134000
3.314652,15.033078,3.151569,3.064528,0.800000,-0.166600
4.945945,14.190720,3.650003,2.181058,0.100000,-0.459500
7.234005,13.122043,4.511750,2.046290,0.800000,-0.244000
9.676224,11.984095,5.434936,2.004072,0.800000,0.232200
11.361369,10.989887,5.618910,-2.902123,0.800000,-0.138500
12.193759,10.544182,5.393562,-2.605865,0.800000,-0.011700
13.878472,9.728980,4.795884,-2.800830,0.700000,-0.271000
15.611501,8.731187,4.503261,-2.877808,0.800000,-0.007300
17.309842,7.812619,4.062123,2.601644,0.800000,-0.153500
19.294705,6.755085,3.514484,-2.996806,0.000000,1.260700
20.128037,6.260016,3.444444,-3.003210,0.000000,0.684300
21.807082,5.279100,3.674040,2.473979,0.000000,0.000000
23.601696,4.226883,3.445420,-2.832585,0.000000,0.000000
25.767821,3.003433,3.006869,-2.474471,0.000000,0.000000
25.780620,3.000000,3.000000,0.000000,0.000000,0.000000
