time,xc,yc,theta_c,sx,sy
0.000000,3.135000,1.166667,1.570000,1.000000,1.000000
13.328073,3.396208,2.655407,1.403003,1.130654,1.048671
25.385638,3.447701,3.998998,1.268503,1.116768,1.113486
31.398554,3.227381,4.500073,1.189696,1.080600,1.378970
32.197676,3.211280,4.592064,1.194617,1.068840,1.390782
32.997511,3.198332,4.687090,1.195907,1.068208,1.394251
33.797475,3.188268,4.782522,1.194535,1.069004,1.390584
34.597471,3.180645,4.878079,1.191287,1.070901,1.381669
35.397494,3.175090,4.973654,1.186756,1.073562,1.368940
36.197538,3.171263,5.069203,1.181374,1.076735,1.353597
36.997593,3.168864,5.164721,1.175464,1.080218,1.336636
37.797653,3.167626,5.260220,1.169276,1.083853,1.318874
38.597713,3.167313,5.355719,1.163006,1.087516,1.300974
39.397768,3.167719,5.451238,1.156816,1.091106,1.283464
40.197814,3.168663,5.546795,1.150836,1.094546,1.266761
40.997851,3.169982,5.642401,1.145177,1.097775,1.251181
57.160365,3.161901,7.461297,1.253548,0.979126,1.092648
57.959877,3.146911,7.517945,1.321730,1.006185,1.073804
59.722702,3.135000,7.583000,1.570000,1.000000,1.000000
