time,x,y,theta
0.000000,2.565000,0.875000,1.570000
13.328073,2.751941,2.429545,1.471392
25.385638,2.744918,3.876436,1.750478
31.398554,2.380648,4.499286,1.785327
32.197676,2.359564,4.592778,1.773788
32.997511,2.344844,4.687602,1.693573
33.797475,2.336639,4.783220,1.632769
34.597471,2.333536,4.879147,1.584539
35.397494,2.334427,4.975122,1.547178
36.197538,2.338356,5.071019,1.519125
36.997593,2.344509,5.166799,1.498970
37.797653,2.352199,5.262466,1.485460
38.597713,2.360855,5.358051,1.477490
39.397768,2.370003,5.453589,1.474098
40.197814,2.379255,5.549118,1.474441
40.997851,2.388296,5.644667,1.477790
57.160365,2.481187,7.383756,1.418502
57.959877,2.481518,7.383900,1.418297
59.722702,2.565000,7.291333,1.418297
