time,xc,yc,theta_c,sx,sy
0.000000,18.000000,10.000000,0.000000,1.000000,1.000000
2.120230,17.085071,9.791659,-0.419191,1.247119,0.635328
3.113571,16.805937,9.314509,-0.447855,1.377602,0.610718
5.440967,16.238602,8.354826,-0.569995,1.697732,0.816870
7.997346,16.462909,7.213928,-0.562114,1.782837,1.434378
10.300789,15.753469,6.477288,-0.724287,2.336398,1.335424
12.160737,15.020480,5.840764,-0.715970,2.120972,1.525395
13.399689,14.624064,5.481198,-0.647542,1.893659,1.671258
15.490522,13.872632,4.987091,-0.550606,2.010937,2.035010
16.430407,13.675213,4.507092,-0.546889,2.236875,2.026805
17.673249,13.288051,4.124787,-0.474502,2.153589,2.186336
20.170444,12.107260,3.509176,-0.517087,2.091116,2.276710
22.843904,10.668313,3.501456,-0.471902,2.213545,2.295835
24.726263,9.709489,3.908100,-0.437324,2.165009,2.272155
27.062348,8.880777,4.544655,-0.324268,1.934732,2.204893
29.711928,7.760995,5.086106,-0.190974,2.149810,2.344536
31.797616,6.931635,4.361404,-0.301880,2.560301,2.189694
33.645971,5.993153,4.106302,-0.214124,2.407402,2.368357
35.922371,5.072831,4.729427,-0.155134,2.734274,2.241901
38.161457,4.455076,5.662838,-0.114363,2.616150,2.372676
40.477291,3.805473,6.570739,-0.062934,2.468266,2.521092
41.681142,3.463782,7.012979,-0.034014,2.370260,2.610669
45.005371,2.990600,8.009431,0.249540,1.366014,2.380609
47.236197,2.243358,8.857444,0.255450,1.403273,2.055433
50.275831,1.922286,9.970243,0.103925,1.467946,1.357944
51.126063,2.000000,10.000000,0.000000,1.000000,1.000000
