time,x,y,theta
0.000000,3.135464,7.000000,-1.570000
3.091757,3.555999,5.058866,0.000000
3.873627,3.787781,4.895109,0.000000
4.673075,3.864064,4.793596,0.000000
5.472509,3.847030,4.696729,0.000000
6.272241,3.813632,4.512374,0.000000
7.072230,3.793343,4.278549,0.000000
7.872225,3.774635,4.033409,0.000000
8.672218,3.755487,3.785209,0.000000
9.472211,3.736925,3.536295,0.000000
10.272203,3.720368,3.287677,0.000000
11.072196,3.706817,3.039807,0.000000
11.872186,3.691900,2.796140,0.000000
18.342198,3.373788,1.238559,0.000000
18.881173,3.195490,1.195108,0.000000
19.129300,3.135464,1.167000,0.000000
