time,x,y,theta
0.000000,2.500000,15.800000,0.000000
1.897388,3.606954,15.534140,-0.524425
4.817704,4.655755,14.566027,-0.965572
6.726920,5.275096,14.054443,0.032424
8.372312,6.010570,13.918665,-0.244514
10.569124,6.695831,13.581951,-0.901472
11.803809,7.052077,13.591713,0.387708
13.071859,7.533541,14.114025,1.009845
14.781015,7.778194,14.774806,1.301107
16.299764,7.936815,15.397891,1.322782
19.784816,9.960057,15.628102,-0.187438
21.447446,10.695500,15.389343,-0.321026
23.045023,11.146379,14.797164,-1.253901
25.202690,11.510720,14.214380,-1.576029
26.801072,11.611720,14.406799,-2.129465
28.113606,11.951180,14.740670,-2.456159
30.749644,13.087405,15.428353,-2.794682
32.951834,14.316947,15.912191,-2.942256
35.661113,15.937866,15.789358,-3.558937
37.326600,16.488099,15.553756,-3.572203
39.372220,17.285942,15.453699,-2.945727
40.050752,17.500000,15.800000,-2.945727
