time,xc,yc,theta_c,sx,sy
0.000000,4.330000,5.000000,0.000000,1.000000,1.000000
0.266652,4.489167,4.987806,-0.000843,1.000211,1.008154
0.533315,4.646603,4.962964,-0.003328,1.000719,1.024818
0.799987,4.803335,4.934315,-0.006250,1.001199,1.042339
1.066662,4.959798,4.904245,-0.009230,1.001656,1.059883
1.333337,5.116154,4.873587,-0.012163,1.002110,1.077350
1.600011,5.272458,4.842651,-0.015027,1.002577,1.094788
1.866685,5.428730,4.811562,-0.017822,1.003064,1.112247
2.133359,5.584979,4.780371,-0.020550,1.003574,1.129758
2.400032,5.741208,4.749102,-0.023212,1.004108,1.147336
2.666705,5.897418,4.717764,-0.025812,1.004667,1.164982
2.933377,6.053611,4.686360,-0.028351,1.005248,1.182693
3.200048,6.209787,4.654891,-0.030829,1.005851,1.200459
3.466720,6.365946,4.623354,-0.033248,1.006473,1.218269
3.733390,6.522090,4.591749,-0.035609,1.007113,1.236111
4.000060,6.678218,4.560070,-0.037912,1.007768,1.253972
4.266729,6.834330,4.528315,-0.040159,1.008436,1.271836
4.533398,6.990428,4.496480,-0.042350,1.009115,1.289689
4.800065,7.146511,4.464562,-0.044486,1.009803,1.307517
7.453520,8.396706,4.268855,0.232594,1.561068,1.304156
7.720196,8.531154,4.214820,0.240655,1.519984,1.287975
7.986809,8.680211,4.157961,0.246369,1.526534,1.277996
8.253485,8.830651,4.105406,0.253417,1.534367,1.265252
8.520163,8.981688,4.055099,0.261354,1.543186,1.250956
8.786839,9.132951,4.005918,0.270059,1.552969,1.235612
9.053505,9.284219,3.957227,0.279575,1.563875,1.219399
9.320133,9.435333,3.908638,0.290040,1.576186,1.202346
9.586757,9.586140,3.859914,0.301664,1.590325,1.184459
9.853376,9.736334,3.811073,0.314779,1.607245,1.166152
10.119993,9.885368,3.762546,0.329797,1.628545,1.148609
10.386614,10.032738,3.714982,0.346939,1.655597,1.133177
12.692910,11.206827,4.277018,0.350496,1.762324,1.591013
13.993185,11.558713,4.635627,0.551555,2.036954,1.723103
17.127759,12.153777,3.729052,1.186883,1.414950,1.911181
18.358501,12.079918,3.308809,1.271007,1.854529,1.900941
18.623818,12.026336,3.294933,1.344512,1.782352,1.821662
18.886531,11.995795,3.263580,1.405837,1.773776,1.769870
19.462456,12.000000,3.300000,1.570000,1.800000,1.800000
