time,x,y,theta
0.000000,2.700000,10.000000,0.000000
0.835719,3.161965,10.142576,0.000000
1.678113,3.661834,10.067764,0.000000
2.520641,4.140159,10.031758,0.000000
4.687536,5.010116,9.065564,0.000000
5.763119,5.639658,8.936615,0.000000
8.014544,6.308148,7.763602,0.000000
9.737065,7.306123,8.032294,0.000000
11.258768,7.987773,7.424871,0.000000
14.496243,9.230613,5.932022,0.000000
15.900236,9.688495,6.639111,0.000000
17.336065,10.019903,7.434313,0.000000
18.741880,10.362994,8.204872,0.000000
20.538715,11.171306,8.483922,0.000000
21.811097,11.557289,7.825255,0.000000
24.420667,12.681513,6.735453,0.000000
26.179668,13.589138,6.854002,0.000000
27.622305,13.987758,7.622335,0.000000
28.845920,14.432325,8.206599,0.000000
30.043592,14.921288,8.733197,0.000000
31.209520,15.403301,9.240191,0.000000
32.276397,15.888294,9.528801,0.000000
33.343622,16.363051,9.713676,0.000000
34.410569,16.809302,9.825603,0.000000
35.477295,17.222700,9.891782,0.000000
36.543775,17.607383,9.942256,0.000000
37.609992,17.968960,9.993802,0.000000
38.599585,18.355143,10.049223,0.000000
39.274943,18.700000,10.000000,0.000000
