time,x,y,theta
0.000000,4.996667,5.000000,0.000000
0.266652,5.155975,4.987243,-0.137714
0.533315,5.313745,4.960744,-0.182418
0.799987,5.470787,4.930143,-0.198021
1.066662,5.627540,4.898082,-0.203802
1.333337,5.784178,4.865462,-0.206123
1.600011,5.940767,4.832608,-0.207148
1.866685,6.097333,4.799645,-0.207658
2.133359,6.253887,4.766623,-0.207954
2.400032,6.410433,4.733565,-0.208161
2.666705,6.566973,4.700477,-0.208336
2.933377,6.723507,4.667363,-0.208507
3.200048,6.880035,4.634221,-0.208687
3.466720,7.036557,4.601050,-0.208884
3.733390,7.193073,4.567845,-0.209103
4.000060,7.349580,4.534605,-0.209346
4.266729,7.506079,4.501324,-0.209615
4.533398,7.662568,4.467998,-0.209912
4.800065,7.819047,4.434624,-0.210238
7.453520,9.409394,4.508742,-0.614899
7.720196,9.515275,4.456334,-0.351656
7.986809,9.667170,4.406159,-0.298986
8.253485,9.820892,4.361863,-0.269534
8.520163,9.975542,4.320927,-0.252182
8.786839,10.130739,4.282127,-0.240440
9.053505,10.286322,4.244924,-0.231005
9.320133,10.442235,4.209154,-0.222041
9.586757,10.598481,4.174914,-0.212038
9.853376,10.755183,4.142815,-0.196330
10.119993,10.912554,4.114150,-0.170660
10.386614,11.070707,4.090273,-0.137556
12.692910,12.310280,4.680431,0.955317
13.993185,12.715309,5.347220,1.349677
17.127759,12.507092,4.603685,1.302538
18.358501,12.445036,4.490019,0.249313
18.623818,12.292927,4.452875,0.226591
18.886531,12.189979,4.430044,0.208389
19.462456,12.000956,4.500000,0.208389
