time,x,y,vx,vy
0.000000,10.000000,2.000000,0.000000,0.000000
0.833333,10.000000,2.500000,0.000000,0.300000
2.848998,9.617678,3.647378,0.054400,0.083900
5.134530,9.693775,5.016584,-0.307000,0.738700
7.328150,10.419426,6.114646,-0.020500,0.599600
8.504236,10.879460,6.649727,-0.006800,0.199900
10.788091,10.919643,8.019451,0.072800,0.595600
13.085812,10.299204,9.250582,0.059700,0.496400
13.919145,10.282116,9.750290,0.107400,0.893600
16.419145,10.230850,11.249413,0.000000,0.000000
18.881808,9.844817,12.675693,0.000000,0.000000
20.874631,9.488798,13.817154,0.000000,0.000000
21.707964,9.549453,14.313461,0.000000,0.000000
23.374631,9.670765,15.306076,0.000000,0.000000
25.874598,9.855138,16.794682,0.000000,0.000000
27.541265,9.974465,17.787537,0.000000,0.000000
27.897918,10.000000,18.000000,0.000000,0.000000
