time,x,y,theta
0.000000,3.730000,8.000000,0.000000
1.322859,4.848128,7.883506,-0.484834
2.501473,5.630113,7.195087,0.187574
3.039600,6.148716,7.081782,-0.751402
4.223963,7.017567,6.472785,0.065910
5.953187,8.561885,7.077120,0.519834
7.217248,10.021987,7.488225,0.982696
8.602938,11.461527,8.319098,0.530319
9.981650,12.790231,9.304879,1.020967
11.372021,14.184765,10.220841,0.518428
12.305194,15.159181,10.772640,0.568174
14.592231,16.305433,12.563610,1.375299
14.820390,16.564000,12.500000,1.375299
