time,x,y,theta
0.000000,19.060000,12.000000,0.000000
1.474901,17.347543,12.447179,-0.832549
3.069495,16.428814,12.413268,-0.754544
3.525671,15.882340,12.445289,0.723092
4.169786,15.434384,11.990272,0.988409
4.910785,15.041081,11.489514,0.871974
5.604585,14.648468,10.985531,0.921554
7.033118,13.563824,9.658067,1.594184
7.546994,13.288781,9.106152,0.814507
8.143338,12.953133,8.578960,1.071493
8.684108,12.683770,7.998693,1.166044
9.217440,12.440423,7.406780,1.187148
9.750773,12.202476,6.812658,1.190506
10.284106,11.965910,6.217985,1.192288
10.817438,11.730595,5.622817,1.194505
12.291001,11.048847,3.991247,4.395417
12.730677,10.923247,3.549952,4.456092
12.930405,10.884907,3.393486,4.478018
13.098555,10.884000,3.200000,4.478018
