time,x,y,theta
0.000000,3.135464,7.000000,-1.570000
0.804639,2.910633,6.533330,0.000000
1.605701,3.066288,6.435613,0.000000
2.394937,3.111218,6.243687,0.000000
3.187433,3.119196,6.005416,0.000000
3.982087,3.122416,5.758506,0.000000
4.778500,3.125464,5.509851,0.000000
5.576031,3.129057,5.260994,0.000000
6.374276,3.133233,5.012367,0.000000
7.173136,3.137735,4.763975,0.000000
7.972250,3.142261,4.515638,0.000000
8.771514,3.146367,4.267285,0.000000
9.570863,3.149691,4.018957,0.000000
10.370262,3.152039,3.770725,0.000000
11.169695,3.153387,3.522604,0.000000
11.969154,3.153821,3.274559,0.000000
12.767789,3.153783,3.026424,0.000000
13.566504,3.153089,2.778316,0.000000
14.365273,3.151898,2.530236,0.000000
15.164554,3.150200,2.282262,0.000000
15.962059,3.149014,2.034056,0.000000
16.759829,3.147744,1.785909,0.000000
17.558845,3.146179,1.537941,0.000000
18.355546,3.136928,1.300735,0.000000
18.825572,3.135464,1.167000,0.000000
