time,x,y,theta
0.000000,3.704768,7.874454,-1.570000
0.804639,3.715211,7.625235,-1.514510
1.605701,3.723725,7.377240,-1.554927
2.394937,3.721725,7.132585,-1.594519
3.187433,3.711927,6.887106,-1.620754
3.982087,3.698366,6.641137,-1.629037
4.778500,3.685399,6.394590,-1.619779
5.576031,3.676586,6.147513,-1.598137
6.374276,3.673846,5.900072,-1.571743
7.173136,3.677219,5.652448,-1.548113
7.972250,3.685188,5.404851,-1.532716
8.771514,3.695353,5.157288,-1.527918
9.570863,3.705194,4.909685,-1.533027
10.370262,3.712707,4.661985,-1.545103
11.169695,3.716771,4.414194,-1.560163
11.969154,3.717235,4.166362,-1.574368
12.767789,3.714732,3.918798,-1.584954
13.566504,3.710370,3.671235,-1.590548
14.365273,3.705371,3.423667,-1.591241
15.164554,3.700775,3.175933,-1.588166
15.962059,3.697238,2.928731,-1.583159
16.759829,3.694991,2.681433,-1.577813
17.558845,3.693939,2.433740,-1.573306
18.355546,3.693994,2.186763,-1.568835
18.825572,3.704768,2.041454,-1.568835
