time,xc,yc,theta_c,sx,sy
0.000000,3.135000,1.312500,1.570000,1.000000,1.000000
6.461950,3.281847,2.710033,1.421502,1.164006,1.064768
7.184595,3.265965,2.817228,1.461134,1.226141,1.097973
7.983950,3.258181,2.991313,1.466002,1.227058,1.143226
8.783825,3.251062,3.166820,1.468434,1.226855,1.163608
9.583769,3.244821,3.342677,1.468971,1.226789,1.168215
10.383744,3.239322,3.518563,1.468347,1.226916,1.162912
11.183735,3.234353,3.694394,1.467014,1.227204,1.151624
11.983734,3.229742,3.870174,1.465259,1.227603,1.137003
12.783736,3.225371,4.045926,1.463276,1.228066,1.120849
13.583738,3.221160,4.221675,1.461206,1.228554,1.104385
14.383738,3.217059,4.397441,1.459150,1.229039,1.088438
15.183736,3.213031,4.573232,1.457186,1.229497,1.073559
15.983731,3.209044,4.749054,1.455370,1.229913,1.060102
16.783723,3.205071,4.924907,1.453742,1.230279,1.048273
17.583711,3.201087,5.100786,1.452328,1.230590,1.038175
18.383697,3.197065,5.276687,1.451141,1.230845,1.029825
19.183679,3.192984,5.452604,1.450185,1.231046,1.023185
19.983657,3.188823,5.628533,1.449455,1.231196,1.018168
20.783632,3.184568,5.804467,1.448940,1.231298,1.014655
21.583605,3.180206,5.980402,1.448622,1.231359,1.012501
22.383575,3.175727,6.156337,1.448479,1.231385,1.011542
23.183539,3.171124,6.332267,1.448487,1.231380,1.011600
23.983503,3.166397,6.508190,1.448621,1.231347,1.012493
24.783466,3.161548,6.684101,1.448854,1.231282,1.014036
25.583428,3.156586,6.859968,1.449162,1.231120,1.016043
26.383374,3.151940,7.026563,1.449440,1.209545,1.017825
27.183299,3.148224,7.179516,1.449644,1.156518,1.018944
27.983206,3.145160,7.326540,1.451321,1.091742,1.019256
28.782663,3.142624,7.473388,1.460652,1.036481,1.017603
29.643715,3.135000,7.583000,1.570000,1.000000,1.000000
