time,x,y,theta
0.000000,2.565768,7.874547,-1.570000
0.693617,2.564489,7.592394,-1.579458
3.667565,2.546226,6.105532,-2.999626
4.207692,2.381360,5.891632,-1.780537
5.488545,1.993366,5.728712,-1.943130
6.286506,1.950290,5.335157,-1.532266
7.085865,2.002612,4.939373,-1.392008
7.885016,2.081105,4.547632,-1.369182
8.684943,2.154415,4.154692,-1.401255
9.484766,2.217748,3.793543,-1.398025
10.284914,2.257293,3.511592,-1.452863
11.084861,2.274630,3.315344,-1.501000
11.884655,2.281560,3.194562,-1.525074
12.684392,2.285835,3.095779,-1.536672
19.512316,2.551078,1.974248,-1.644128
19.659775,2.555423,2.027541,-1.647110
19.710170,2.565768,2.041547,-1.647110
