time,x,y,theta
0.000000,3.135464,7.000000,-1.570000
0.693617,3.185607,6.753230,0.000000
3.667565,3.971813,5.055961,0.000000
4.207692,4.037060,4.656307,0.000000
5.488545,3.864064,3.646334,0.000000
6.286506,3.835445,3.706025,0.000000
7.085865,3.841549,3.774006,0.000000
7.885016,3.811479,3.830378,0.000000
8.684943,3.829989,3.728631,0.000000
9.484766,3.822468,3.593350,0.000000
10.284914,3.837633,3.379120,0.000000
11.084861,3.821306,3.162643,0.000000
11.884655,3.772962,2.956053,0.000000
12.684392,3.710434,2.750731,0.000000
19.512316,3.227924,1.169410,0.000000
19.659775,3.154973,1.166920,0.000000
19.710170,3.135464,1.167000,0.000000
