time,x,y,theta
0.000000,3.704768,7.874454,-1.570000
0.693617,3.703458,7.659437,-1.580142
3.667565,3.898723,6.823669,-2.362081
4.207692,3.822308,6.709471,-1.907248
5.488545,3.803788,6.442718,-1.534132
6.286506,3.793087,6.195581,-1.660494
7.085865,3.770289,5.948831,-1.669857
7.885016,3.749718,5.701950,-1.651061
8.684943,3.732664,5.454560,-1.635050
9.484766,3.716919,5.207115,-1.634849
10.284914,3.703576,4.959428,-1.619137
11.084861,3.693529,4.711648,-1.606792
11.884655,3.685263,4.463850,-1.600853
12.684392,3.677494,4.216053,-1.600199
19.512316,3.717587,2.099777,-1.647397
19.659775,3.713767,2.054224,-1.649004
19.710170,3.704768,2.041454,-1.649004
