time,x,y,theta
0.000000,2.565651,0.874953,1.570000
6.461950,2.606900,2.295984,1.264315
7.184595,2.586195,2.351779,1.823033
7.983950,2.555035,2.524854,1.710660
8.783825,2.537525,2.699926,1.646271
9.583769,2.528930,2.875694,1.603610
10.383744,2.526135,3.051663,1.576485
11.183735,2.526920,3.227655,1.560240
11.983734,2.529746,3.403627,1.551446
12.783736,2.533568,3.579579,1.547681
13.583738,2.537681,3.755525,1.547289
14.383738,2.541617,3.931475,1.549148
15.183736,2.545064,4.107435,1.552491
15.983731,2.547817,4.283407,1.556784
16.783723,2.549753,4.459391,1.561649
17.583711,2.550801,4.635383,1.566808
18.383697,2.550931,4.811378,1.572055
19.183679,2.550146,4.987372,1.577231
19.983657,2.548471,5.163359,1.582212
20.783632,2.545954,5.339336,1.586878
21.583605,2.542658,5.515299,1.591166
22.383575,2.538653,5.691246,1.595034
23.183539,2.534022,5.867178,1.598408
23.983503,2.528854,6.043092,1.601256
24.783466,2.523246,6.218989,1.603557
25.583428,2.517301,6.394869,1.605246
26.383374,2.512923,6.570789,1.590541
27.183299,2.511475,6.746744,1.572586
27.983206,2.512343,6.920891,1.561540
28.782663,2.517214,7.085807,1.527789
29.643715,2.565651,7.145453,1.527789
