time,xc,yc,theta_c,sx,sy
0.000000,3.135000,7.583000,-1.570000,1.000000,1.000000
0.806252,3.267454,7.385577,-1.184298,1.399999,1.274142
1.603766,3.138978,7.137578,-1.085771,1.350025,1.349407
7.859904,2.630445,5.534780,-1.618551,1.444123,1.820814
8.654820,2.801173,5.286782,-1.624057,1.453063,1.579026
9.456071,2.934035,5.038783,-1.592705,1.344313,1.344595
10.259820,3.052561,4.790785,-1.529831,1.198189,1.128342
11.062079,3.138082,4.542786,-1.473636,1.108920,0.973280
11.861985,3.183359,4.294788,-1.462491,1.106824,0.890770
12.661759,3.213533,4.046789,-1.455144,1.102543,0.862273
13.461597,3.228601,3.798791,-1.447478,1.090069,0.879838
14.261505,3.227568,3.550793,-1.444442,1.077915,0.927922
15.061455,3.213573,3.302796,-1.447477,1.071786,0.986484
15.861371,3.192078,3.054799,-1.452848,1.070195,1.038337
16.661046,3.168322,2.806804,-1.456203,1.069188,1.072935
17.460895,3.146239,2.558810,-1.455866,1.067061,1.086480
18.260827,3.128303,2.310824,-1.452362,1.064816,1.081000
19.060764,3.112970,2.068940,-1.455417,1.058725,1.061236
19.858988,3.082948,1.872345,-1.518540,1.016100,1.031197
20.390393,3.135000,1.750000,-1.570000,1.000000,1.000000
