time,x,y,theta
0.000000,3.704768,7.874454,-1.570000
0.806252,3.786574,8.036687,-2.543109
1.603766,3.636265,7.843731,-2.044255
7.859904,3.687187,5.904997,-1.226889
8.654820,3.722452,5.661110,-1.547217
9.456071,3.708840,5.413095,-1.673586
10.259820,3.680896,5.165505,-1.691249
11.062079,3.658931,4.917776,-1.641012
11.861985,3.653307,4.669869,-1.564654
12.661759,3.664722,4.422202,-1.500563
13.461597,3.687281,4.175281,-1.467062
14.261505,3.712738,3.928619,-1.468546
15.061455,3.733234,3.681483,-1.499999
15.861371,3.743171,3.433709,-1.549545
16.661046,3.740307,3.185826,-1.602460
17.460895,3.725838,2.938295,-1.645586
18.260827,3.703544,2.691320,-1.670179
19.060764,3.678384,2.444620,-1.673790
19.858988,3.654483,2.198327,-1.661755
20.390393,3.704768,2.041454,-1.661755
