time,x,y,theta
0.000000,3.135464,7.000000,-1.570000
0.806252,3.575119,6.629585,0.000000
1.603766,3.505931,6.441291,0.000000
7.859904,2.590255,4.693816,0.000000
8.654820,2.756076,4.440847,0.000000
9.456071,2.916866,4.255237,0.000000
10.259820,3.081169,4.092827,0.000000
11.062079,3.200797,3.899335,0.000000
11.861985,3.253110,3.653290,0.000000
12.661759,3.287707,3.408300,0.000000
13.461597,3.306773,3.168107,0.000000
14.261505,3.306761,2.927379,0.000000
15.061455,3.290434,2.682690,0.000000
15.861371,3.265498,2.435211,0.000000
16.661046,3.239596,2.187555,0.000000
17.460895,3.217579,1.940818,0.000000
18.260827,3.201653,1.694385,0.000000
19.060764,3.184028,1.455808,0.000000
19.858988,3.113889,1.280767,0.000000
20.390393,3.135464,1.167000,0.000000
