time,x,y,vx,vy
0.000000,2.850000,7.000000,-0.000000,-0.000000
0.225000,2.824403,6.821829,-0.071100,-0.494900
0.450000,2.825311,6.641832,-0.042700,-0.297000
0.675000,2.826219,6.461834,0.001000,-0.200000
0.900000,2.827128,6.281836,0.002500,-0.500000
1.125000,2.828036,6.101839,0.000500,-0.100000
1.350000,2.828945,5.921841,0.002500,-0.500000
1.575000,2.829853,5.741843,0.001500,-0.300000
1.800000,2.830762,5.561845,0.001000,-0.200000
2.025000,2.831670,5.381848,0.002500,-0.500000
2.250000,2.832579,5.201850,0.000000,-0.000000
2.475000,2.833487,5.021852,0.002500,-0.500000
2.700000,2.834395,4.841855,0.001000,-0.200000
2.925000,2.835304,4.661857,0.001000,-0.200000
3.150000,2.836212,4.481859,0.002000,-0.400000
3.375000,2.837121,4.301861,0.000000,-0.000000
3.600000,2.838029,4.121864,0.002500,-0.500000
3.825000,2.838938,3.941866,0.001000,-0.200000
4.050000,2.839846,3.761868,0.001500,-0.300000
4.275000,2.840755,3.581871,0.002000,-0.400000
4.500000,2.841663,3.401873,0.000500,-0.100000
4.725000,2.842571,3.221875,0.002500,-0.500000
4.950000,2.843480,3.041878,0.000500,-0.100000
5.175000,2.844388,2.861880,0.001500,-0.300000
5.400000,2.845297,2.681882,0.002000,-0.400000
5.625000,2.846205,2.501884,0.000500,-0.100000
5.850000,2.847114,2.321887,0.003000,-0.600000
6.075000,2.848022,2.141889,0.000500,-0.100000
6.300000,2.848931,1.961891,0.002000,-0.400000
6.525000,2.849839,1.781894,0.002000,-0.400000
6.564867,2.850000,1.750000,0.001500,-0.300000
