time,x,y,theta,v,omega
0.000000,4.560000,4.375000,3.140000,0.000000,-0.160000
4.427662,3.526474,3.867982,-2.240279,0.260000,-0.012000
5.148580,3.339178,3.875297,3.015672,0.260000,-0.004500
5.870559,3.154040,3.906293,2.946204,0.260000,-0.001600
6.592658,2.970382,3.945255,2.922433,0.260000,-0.000500
7.314771,2.787318,3.986936,2.914221,0.260000,-0.000200
8.036887,2.604470,4.029559,2.911350,0.260000,-0.000100
8.759002,2.421699,4.072512,2.910332,0.260000,-0.000000
9.481117,2.238956,4.115584,2.909964,0.260000,-0.000000
10.203233,2.056224,4.158698,2.909828,0.260000,-0.000000
10.925348,1.873495,4.201829,2.909775,0.260000,-0.000000
11.647463,1.690768,4.244966,2.909754,0.000000,0.000000
12.369579,1.508041,4.288106,2.909745,0.000000,0.000000
13.091694,1.325315,4.331247,2.909740,0.000000,0.000000
13.813810,1.142589,4.374389,2.909734,0.000000,0.000000
13.824040,1.140000,4.375000,3.140000,0.000000,0.000000
