time,xc,yc,theta_c,sx,sy
0.000000,4.330000,8.000000,0.000000,1.000000,1.000000
1.322859,5.582889,8.327229,0.543283,1.430582,1.445164
2.501473,6.673408,7.879342,0.580483,2.079442,2.115486
3.039600,7.244898,7.740304,0.540965,2.131292,2.515485
4.223963,8.370482,7.270642,0.532835,2.617757,2.854198
5.953187,9.976809,8.189770,0.666373,3.000000,2.999999
7.217248,11.220609,8.831097,0.842095,3.000000,2.501804
8.602938,12.660997,9.661212,0.841463,2.999999,2.999999
9.981650,13.796784,10.797142,0.977381,3.000000,2.678755
11.372021,15.200050,11.332011,0.830459,2.508599,2.999999
12.305194,16.141245,11.727150,0.771171,2.282505,2.999999
14.592231,17.311865,12.590642,0.026853,1.677991,2.999999
14.820390,17.500000,12.500000,0.000000,1.560000,3.380000
