time,x,y,theta
0.000000,4.930000,8.000000,0.000000
1.322859,6.317649,8.770951,0.000000
2.501473,7.716704,8.563596,0.000000
3.039600,8.341080,8.398826,0.000000
4.223963,9.723396,8.068499,0.000000
5.953187,11.391734,9.302419,0.000000
7.217248,12.419231,10.173969,0.000000
8.602938,13.860468,11.003326,0.000000
9.981650,14.803337,12.289406,0.000000
11.372021,16.215336,12.443181,0.000000
12.305194,17.123309,12.681659,0.000000
14.592231,18.318296,12.617675,0.000000
14.820390,18.436000,12.500000,0.000000
