time,x,y,theta
0.000000,4.330000,8.600000,0.000000
1.322859,5.134643,9.069479,-0.138824
2.501473,5.977294,8.940721,0.817753
3.039600,6.467669,9.034087,-0.485313
4.223963,7.500560,8.745755,-0.052385
5.953187,8.864160,9.604694,0.525630
7.217248,10.100741,9.830669,0.919573
8.602938,11.318884,10.860682,0.534314
9.981650,12.464315,11.695912,1.152885
11.372021,13.871217,12.546178,0.401470
12.305194,14.886690,13.017921,0.403991
14.592231,17.263535,14.389993,-0.056277
14.820390,17.500000,14.528000,-0.056277
