time,xc,yc,theta_c,sx,sy
0.000000,19.660000,12.000000,0.000000,1.000000,1.000000
1.474901,18.187988,12.396593,-0.060118,1.403276,0.697085
3.069495,16.787757,12.205992,-0.523684,0.690819,1.635924
3.525671,16.370213,12.083532,-0.638038,1.012270,2.000247
4.169786,15.933004,11.533702,-0.741404,1.126793,2.382380
4.910785,15.543071,10.882935,-0.879465,1.312264,2.782376
5.604585,15.232036,10.230785,-0.912614,1.590067,2.999999
7.033118,14.485854,8.975228,-0.637447,1.912247,2.628709
7.546994,14.104683,8.521271,-0.621947,1.673139,2.989848
8.143338,13.914568,7.900564,-0.614480,1.961137,3.000000
8.684108,13.688119,7.299215,-0.608338,2.039871,3.000000
9.217440,13.441978,6.708619,-0.608762,2.034795,3.000000
9.750773,13.194513,6.118999,-0.610207,2.017494,3.000000
10.284106,12.947949,5.529054,-0.611754,1.999324,2.999999
10.817438,12.702321,4.938762,-0.613378,1.980587,2.999999
12.291001,12.470418,3.597441,-0.270245,2.458515,2.419548
12.730677,12.144167,3.363112,-0.151854,2.058557,2.761212
12.930405,12.029954,3.307635,-0.074836,1.913768,2.802422
13.098555,12.000000,3.200000,0.000000,1.860000,2.760000
