time,x,y,theta
0.000000,19.660000,12.600000,0.000000
1.474901,18.213117,12.814089,-0.732135
3.069495,17.278606,13.056001,-0.953358
3.525671,17.085046,13.047570,0.528866
4.169786,16.898331,12.587935,1.521621
4.910785,16.829194,11.947299,1.427971
5.604585,16.656025,11.331809,1.233440
7.033118,15.424532,10.242715,-0.109405
7.546994,15.149847,9.979263,1.373039
8.143338,14.952329,9.371296,1.230997
8.684108,14.716828,8.776293,1.180883
9.217440,14.471312,8.185261,1.176770
9.750773,14.225980,7.594151,1.178767
10.284106,13.981696,7.002609,1.180518
10.817438,13.738460,6.410637,1.182477
12.291001,12.857983,4.996480,3.066137
12.730677,12.394782,5.000774,3.167785
12.930405,12.155670,4.984383,3.230863
13.098555,12.000000,4.856000,3.230863
