time,x,y,vx,vy
0,19,15,nan,nan
1.2,18.8074,14.813772,nan,nan
2.4,18.5506,14.796067,nan,nan
3.6,18.2938,14.778362,nan,nan
4.8,18.037,14.760657,nan,nan
6,17.7802,14.742952,nan,nan
7.2,17.5234,14.725247,nan,nan
8.4,17.2666,14.707542,nan,nan
9.6,17.0098,14.689837,nan,nan
10.8,16.753,14.672132,nan,nan
12,16.4962,14.654427,nan,nan
13.2,16.2394,14.636722,nan,nan
14.4,15.9826,14.619017,nan,nan
15.6,15.7258,14.601312,nan,nan
16.8,15.469,14.583607,nan,nan
18,15.2122,14.565902,nan,nan
19.2,14.9554,14.548197,nan,nan
20.4,14.6986,14.530492,nan,nan
21.6,14.4418,14.512787,nan,nan
22.8,14.185,14.495082,nan,nan
24,13.9282,14.477377,nan,nan
25.2,13.6714,14.459672,nan,nan
26.4,13.4146,14.441967,nan,nan
27.6,13.1578,14.424261,nan,nan
28.8,12.901,14.406556,nan,nan
30,12.6442,14.388851,nan,nan
31.2,12.3874,14.371146,nan,nan
32.4,12.1306,14.353441,nan,nan
33.6,11.8738,14.335736,nan,nan
34.8,11.617,14.318031,nan,nan
36,11.3602,14.300326,nan,nan
37.2,11.1034,14.282621,nan,nan
38.4,10.8466,14.264916,nan,nan
39.6,10.5898,14.247211,nan,nan
40.8,10.333,14.229506,nan,nan
42,10.0762,14.211801,nan,nan
43.2,9.8194,14.194096,nan,nan
44.4,9.5626,14.176391,nan,nan
45.6,9.3058,14.158686,nan,nan
46.8,9.049,14.140981,nan,nan
48,8.7922,14.123276,nan,nan
49.2,8.5354,14.105571,nan,nan
50.4,8.2786,14.087866,nan,nan
51.6,8.0218,14.070161,nan,nan
52.8,7.765,14.052456,nan,nan
54,7.5082,14.034751,nan,nan
55.2,7.2514,14.017046,nan,nan
56.355336,7,14,nan,nan
