time,x,y,vx,vy
0,19,15,nan,nan
1.2,18.7222,14.813772,nan,nan
2.4,18.38,14.796067,nan,nan
3.6,18.0378,14.778362,nan,nan
4.8,17.6956,14.760657,nan,nan
6,17.3534,14.742952,nan,nan
7.2,17.0112,14.725247,nan,nan
8.4,16.669,14.707542,nan,nan
9.6,16.3268,14.689837,nan,nan
10.8,15.9846,14.672132,nan,nan
12,15.6424,14.654427,nan,nan
13.2,15.3002,14.636722,nan,nan
14.4,14.958,14.619017,nan,nan
15.6,14.6158,14.601312,nan,nan
16.8,14.2736,14.583607,nan,nan
18,13.9314,14.565902,nan,nan
19.2,13.5892,14.548197,nan,nan
20.4,13.247,14.530492,nan,nan
21.6,12.9048,14.512787,nan,nan
22.8,12.5626,14.495082,nan,nan
24,12.2204,14.477377,nan,nan
25.2,11.8782,14.459672,nan,nan
26.4,11.536,14.441967,nan,nan
27.6,11.1938,14.424261,nan,nan
28.8,10.8516,14.406556,nan,nan
30,10.5094,14.388851,nan,nan
31.2,10.1672,14.371146,nan,nan
32.4,9.825,14.353441,nan,nan
33.6,9.4828,14.335736,nan,nan
34.8,9.1406,14.318031,nan,nan
36,8.7984,14.300326,nan,nan
37.2,8.4562,14.282621,nan,nan
38.4,8.114,14.264916,nan,nan
39.6,7.7718,14.247211,nan,nan
40.8,7.4296,14.229506,nan,nan
42,7.0874,14.211801,nan,nan
43.2,6.7452,14.194096,nan,nan
44.4,6.403,14.176391,nan,nan
45.6,6.0608,14.158686,nan,nan
46.8,5.7186,14.140981,nan,nan
48,5.3764,14.123276,nan,nan
49.2,5.0342,14.105571,nan,nan
50.4,4.692,14.087866,nan,nan
51.6,4.3498,14.070161,nan,nan
52.8,4.0076,14.052456,nan,nan
54,3.6654,14.034751,nan,nan
55.2,3.3232,14.017046,nan,nan
56.355336,3,14,nan,nan
