time,x,y,vx,vy
0,19,15,nan,nan
1.2,18.914,14.813772,nan,nan
2.4,18.7637,14.796067,nan,nan
3.6,18.6135,14.778362,nan,nan
4.8,18.4632,14.760657,nan,nan
6,18.3129,14.742952,nan,nan
7.2,18.1627,14.725247,nan,nan
8.4,18.0124,14.707542,nan,nan
9.6,17.8621,14.689837,nan,nan
10.8,17.7119,14.672132,nan,nan
12,17.5616,14.654427,nan,nan
13.2,17.4113,14.636722,nan,nan
14.4,17.2611,14.619017,nan,nan
15.6,17.1108,14.601312,nan,nan
16.8,16.9605,14.583607,nan,nan
18,16.8103,14.565902,nan,nan
19.2,16.66,14.548197,nan,nan
20.4,16.5097,14.530492,nan,nan
21.6,16.3595,14.512787,nan,nan
22.8,16.2092,14.495082,nan,nan
24,16.0589,14.477377,nan,nan
25.2,15.9087,14.459672,nan,nan
26.4,15.7584,14.441967,nan,nan
27.6,15.6081,14.424261,nan,nan
28.8,15.4579,14.406556,nan,nan
30,15.3076,14.388851,nan,nan
31.2,15.1573,14.371146,nan,nan
32.4,15.0071,14.353441,nan,nan
33.6,14.8568,14.335736,nan,nan
34.8,14.7065,14.318031,nan,nan
36,14.5563,14.300326,nan,nan
37.2,14.406,14.282621,nan,nan
38.4,14.2557,14.264916,nan,nan
39.6,14.1055,14.247211,nan,nan
40.8,13.9552,14.229506,nan,nan
42,13.8049,14.211801,nan,nan
43.2,13.6547,14.194096,nan,nan
44.4,13.5044,14.176391,nan,nan
45.6,13.3541,14.158686,nan,nan
46.8,13.2039,14.140981,nan,nan
48,13.0536,14.123276,nan,nan
49.2,12.9033,14.105571,nan,nan
50.4,12.7531,14.087866,nan,nan
51.6,12.6028,14.070161,nan,nan
52.8,12.4525,14.052456,nan,nan
54,12.3023,14.034751,nan,nan
55.2,12.152,14.017046,nan,nan
56.355336,12,14,nan,nan
