time,x,y,vx,vy
0,19,15,nan,nan
1.2,18.8713,14.813772,nan,nan
2.4,18.6784,14.796067,nan,nan
3.6,18.4855,14.778362,nan,nan
4.8,18.2926,14.760657,nan,nan
6,18.0997,14.742952,nan,nan
7.2,17.9068,14.725247,nan,nan
8.4,17.7139,14.707542,nan,nan
9.6,17.521,14.689837,nan,nan
10.8,17.3281,14.672132,nan,nan
12,17.1352,14.654427,nan,nan
13.2,16.9423,14.636722,nan,nan
14.4,16.7494,14.619017,nan,nan
15.6,16.5565,14.601312,nan,nan
16.8,16.3636,14.583607,nan,nan
18,16.1707,14.565902,nan,nan
19.2,15.9778,14.548197,nan,nan
20.4,15.7849,14.530492,nan,nan
21.6,15.592,14.512787,nan,nan
22.8,15.3991,14.495082,nan,nan
24,15.2062,14.477377,nan,nan
25.2,15.0133,14.459672,nan,nan
26.4,14.8204,14.441967,nan,nan
27.6,14.6275,14.424261,nan,nan
28.8,14.4346,14.406556,nan,nan
30,14.2417,14.388851,nan,nan
31.2,14.0488,14.371146,nan,nan
32.4,13.8559,14.353441,nan,nan
33.6,13.663,14.335736,nan,nan
34.8,13.4701,14.318031,nan,nan
36,13.2772,14.300326,nan,nan
37.2,13.0843,14.282621,nan,nan
38.4,12.8914,14.264916,nan,nan
39.6,12.6985,14.247211,nan,nan
40.8,12.5056,14.229506,nan,nan
42,12.3127,14.211801,nan,nan
43.2,12.1198,14.194096,nan,nan
44.4,11.9269,14.176391,nan,nan
45.6,11.734,14.158686,nan,nan
46.8,11.5411,14.140981,nan,nan
48,11.3482,14.123276,nan,nan
49.2,11.1553,14.105571,nan,nan
50.4,10.9624,14.087866,nan,nan
51.6,10.7695,14.070161,nan,nan
52.8,10.5766,14.052456,nan,nan
54,10.3837,14.034751,nan,nan
55.2,10.1908,14.017046,nan,nan
56.355336,10,14,nan,nan
