time,x,y,vx,vy
0,19,15,nan,nan
1.2,18.85,14.813772,nan,nan
2.4,18.6357,14.796067,nan,nan
3.6,18.4214,14.778362,nan,nan
4.8,18.2071,14.760657,nan,nan
6,17.9928,14.742952,nan,nan
7.2,17.7785,14.725247,nan,nan
8.4,17.5642,14.707542,nan,nan
9.6,17.3499,14.689837,nan,nan
10.8,17.1356,14.672132,nan,nan
12,16.9213,14.654427,nan,nan
13.2,16.707,14.636722,nan,nan
14.4,16.4927,14.619017,nan,nan
15.6,16.2784,14.601312,nan,nan
16.8,16.0641,14.583607,nan,nan
18,15.8498,14.565902,nan,nan
19.2,15.6355,14.548197,nan,nan
20.4,15.4212,14.530492,nan,nan
21.6,15.2069,14.512787,nan,nan
22.8,14.9926,14.495082,nan,nan
24,14.7783,14.477377,nan,nan
25.2,14.564,14.459672,nan,nan
26.4,14.3497,14.441967,nan,nan
27.6,14.1354,14.424261,nan,nan
28.8,13.9211,14.406556,nan,nan
30,13.7068,14.388851,nan,nan
31.2,13.4925,14.371146,nan,nan
32.4,13.2782,14.353441,nan,nan
33.6,13.0639,14.335736,nan,nan
34.8,12.8496,14.318031,nan,nan
36,12.6353,14.300326,nan,nan
37.2,12.421,14.282621,nan,nan
38.4,12.2067,14.264916,nan,nan
39.6,11.9924,14.247211,nan,nan
40.8,11.7781,14.229506,nan,nan
42,11.5638,14.211801,nan,nan
43.2,11.3495,14.194096,nan,nan
44.4,11.1352,14.176391,nan,nan
45.6,10.9209,14.158686,nan,nan
46.8,10.7066,14.140981,nan,nan
48,10.4923,14.123276,nan,nan
49.2,10.278,14.105571,nan,nan
50.4,10.0637,14.087866,nan,nan
51.6,9.8494,14.070161,nan,nan
52.8,9.6351,14.052456,nan,nan
54,9.4208,14.034751,nan,nan
55.2,9.2065,14.017046,nan,nan
56.355336,9,14,nan,nan
