time,x,y,vx,vy
0.000000,19.000000,15.000000,nan,nan
2.432525,18.393782,14.951797,nan,nan
3.632525,18.096696,14.910084,nan,nan
4.832525,17.799610,14.868371,nan,nan
6.032525,17.502524,14.826658,nan,nan
7.232525,17.205438,14.784945,nan,nan
8.432525,16.908353,14.743233,nan,nan
9.632525,16.611267,14.701520,nan,nan
10.832525,16.314181,14.659807,nan,nan
12.032525,16.017095,14.618094,nan,nan
13.232525,15.720009,14.576381,nan,nan
14.432525,15.422923,14.534668,nan,nan
15.632525,15.125837,14.492955,nan,nan
16.832525,14.828751,14.451243,nan,nan
18.032525,14.531665,14.409530,nan,nan
19.232525,14.234579,14.367817,nan,nan
20.432525,13.937493,14.326104,nan,nan
21.632525,13.640408,14.284391,nan,nan
22.832525,13.343322,14.242678,nan,nan
24.032525,13.046236,14.200965,nan,nan
25.232525,12.749150,14.159253,nan,nan
26.432525,12.452064,14.117540,nan,nan
27.632525,12.154978,14.075827,nan,nan
28.832525,11.857892,14.034114,nan,nan
30.032525,11.560806,13.992401,nan,nan
31.232525,11.263720,13.950688,nan,nan
32.432525,10.966634,13.908975,nan,nan
33.632525,10.669548,13.867263,nan,nan
34.832525,10.372463,13.825550,nan,nan
36.032525,10.075377,13.783837,nan,nan
37.232525,9.778291,13.742124,nan,nan
38.432525,9.481205,13.700411,nan,nan
39.632525,9.184119,13.658698,nan,nan
40.832525,8.887033,13.616986,nan,nan
42.032525,8.589947,13.575273,nan,nan
43.232525,8.292861,13.533560,nan,nan
44.432525,7.995775,13.491847,nan,nan
45.632525,7.698689,13.450134,nan,nan
46.832525,7.401603,13.408421,nan,nan
48.032525,7.104518,13.366708,nan,nan
49.232525,6.807432,13.324996,nan,nan
50.432525,6.510346,13.283283,nan,nan
51.632525,6.213260,13.241570,nan,nan
52.832525,5.916174,13.199857,nan,nan
54.032525,5.619088,13.158144,nan,nan
55.232525,5.322002,13.116431,nan,nan
56.432525,5.024916,13.074718,nan,nan
57.632525,4.727830,13.033006,nan,nan
58.832525,4.430744,12.991293,nan,nan
60.032525,4.133658,12.949580,nan,nan
61.232525,3.836573,12.907867,nan,nan
62.432525,3.539487,12.866154,nan,nan
63.632525,3.242401,12.824441,nan,nan
64.832525,2.945315,12.782729,nan,nan
66.032525,2.648229,12.741016,nan,nan
67.232525,2.351143,12.699303,nan,nan
68.432525,2.054057,12.657590,nan,nan
68.650874,2.000000,12.650000,nan,nan
