time,xc,yc,theta_c,sx,sy
0.000000,5.666102,5.981656,0.000000,1.000000,1.000000
8.057247,6.790680,7.390912,-0.040067,1.285135,0.949597
9.034421,6.767253,7.588238,-0.042224,1.196088,0.949290
9.851618,6.773257,7.786737,-0.042556,1.160283,0.949252
10.652060,6.788668,7.985559,-0.042404,1.143631,0.949265
11.452050,6.805130,8.184547,-0.042190,1.131454,0.949281
12.252063,6.821241,8.383629,-0.041988,1.120496,0.949296
13.052082,6.836928,8.582768,-0.041804,1.110003,0.949308
13.852101,6.852293,8.781943,-0.041632,1.099757,0.949320
14.652109,6.867411,8.981142,-0.041468,1.089682,0.949330
15.452114,6.882336,9.180361,-0.041310,1.079737,0.949341
16.252115,6.897105,9.379595,-0.041157,1.069895,0.949350
17.052112,6.911759,9.578843,-0.041009,1.060140,0.949359
17.852102,6.926282,9.778099,-0.040861,1.050442,0.949369
18.652086,6.940697,9.977364,-0.040715,1.040844,0.949378
19.452055,6.954988,10.176638,-0.040572,1.031322,0.949388
20.251999,6.969167,10.375921,-0.040435,1.021886,0.949396
21.051884,6.983186,10.575189,-0.040292,1.012498,0.949413
21.851485,6.995825,10.768365,-0.039387,1.002552,0.953838
22.587320,7.000000,10.900000,0.000000,1.000000,1.000000
