time,x,y,theta
0.000000,5.000000,4.500000,0.000000
8.057247,5.878977,6.019355,1.403337
9.034421,5.911875,6.216602,1.415775
9.851618,5.941255,6.414425,1.429956
10.652060,5.967956,6.612631,1.441458
11.452050,5.992814,6.811078,1.449085
12.252063,6.016494,7.009668,1.453947
13.052082,6.039417,7.208348,1.457114
13.852101,6.061836,7.407085,1.459273
14.652109,6.083884,7.605861,1.460966
15.452114,6.105644,7.804667,1.462269
16.252115,6.127174,8.003498,1.463341
17.052112,6.148524,8.202353,1.464144
17.852102,6.169704,8.401218,1.465031
18.652086,6.190707,8.600099,1.465918
19.452055,6.211532,8.798994,1.466811
20.251999,6.232180,8.997908,1.467707
21.051884,6.252643,9.196794,1.468631
21.851485,6.272891,9.382498,1.458120
22.587320,6.333898,9.418344,1.458120
