time,x,y,theta,v,omega
0.000000,16.338479,10.393151,1.552296,nan,nan
0.000000,16.338479,10.393151,-0.445204,nan,nan
0.524384,16.249669,10.296720,-2.393535,nan,nan
1.748757,16.011199,10.104821,-2.504925,nan,nan
2.973744,15.762993,9.925432,-2.521766,nan,nan
4.198743,15.513429,9.747929,-2.524231,nan,nan
5.423743,15.263669,9.570703,-2.524592,nan,nan
6.648743,15.013880,9.393518,-2.524645,nan,nan
7.873743,14.764087,9.216339,-2.524653,nan,nan
9.098743,14.514293,9.039161,-2.524654,nan,nan
10.323743,14.264499,8.861983,-2.524654,nan,nan
11.548743,14.014706,8.684805,-2.524654,nan,nan
12.773743,13.764912,8.507627,-2.524654,nan,nan
13.998743,13.515118,8.330449,-2.524654,nan,nan
15.223743,13.265324,8.153271,-2.524654,nan,nan
16.448743,13.015530,7.976093,-2.524654,nan,nan
17.673743,12.765736,7.798915,-2.524654,nan,nan
18.898743,12.515942,7.621737,-2.524654,nan,nan
20.123743,12.266148,7.444559,-2.524654,nan,nan
21.348743,12.016354,7.267381,-2.524654,nan,nan
22.573743,11.766560,7.090203,-2.524654,nan,nan
23.798743,11.516766,6.913025,-2.524654,nan,nan
25.023743,11.266972,6.735846,-2.524654,nan,nan
26.248743,11.017178,6.558668,-2.524654,nan,nan
27.473743,10.767384,6.381490,-2.524654,nan,nan
28.698743,10.517590,6.204312,-2.524654,nan,nan
29.923743,10.267797,6.027134,-2.524654,nan,nan
31.148743,10.018003,5.849956,-2.524654,nan,nan
32.373743,9.768209,5.672778,-2.524654,nan,nan
33.598743,9.518415,5.495600,-2.524654,nan,nan
34.823743,9.268621,5.318422,-2.524654,nan,nan
36.048743,9.018827,5.141244,-2.524654,nan,nan
37.273743,8.769033,4.964066,-2.524654,nan,nan
38.498743,8.519239,4.786888,-2.524654,nan,nan
43.436509,7.545904,4.027635,-0.557420,nan,nan
44.160163,7.415502,3.902236,-2.468748,nan,nan
45.384701,7.165049,3.726191,-2.565238,nan,nan
46.609686,6.906443,3.562149,-2.582925,nan,nan
51.061777,6.202106,2.700332,-0.158772,nan,nan
51.061777,6.202106,2.700332,1.838728,nan,nan
52.279346,6.052726,2.965550,2.282452,nan,nan
52.531279,6.000000,3.000000,1.570800,nan,nan
