time,x,y,theta
0.000000,7.000000,6.000000,0.794045
4.133336,7.239521,6.997759,0.000000
4.969380,7.300225,7.197760,0.000000
5.808675,7.363686,7.397757,0.000000
6.648864,7.427886,7.597753,0.000000
7.488771,7.491858,7.797747,0.000000
8.327661,7.554995,7.997740,0.000000
9.165061,7.616884,8.197733,0.000000
10.000669,7.677245,8.397725,0.000000
10.834295,7.735887,8.597711,0.000000
19.507282,8.092520,9.627380,0.000000
20.296131,8.004867,9.498746,0.000000
22.962910,7.934070,9.251989,0.000000
