time,xc,yc,theta_c,sx,sy
0.000000,12.013111,2.228846,2.570579,1.000000,1.000000
8.863478,10.677441,2.671991,2.050932,1.120400,1.168397
16.716649,9.194936,3.498248,1.858351,1.070957,1.224352
20.773827,8.748273,4.095574,1.768665,0.906155,1.210902
21.904573,8.602332,4.229604,1.730374,0.855696,1.151660
23.035378,8.445126,4.369947,1.697271,0.811445,1.102619
24.166137,8.282650,4.510886,1.665928,0.768617,1.062286
25.296808,8.117811,4.650807,1.633610,0.725909,1.025822
26.427346,7.952245,4.789281,1.598166,0.683087,0.990725
27.557681,7.786927,4.925954,1.557678,0.640123,0.955850
28.684898,7.622502,5.059884,1.510069,0.597479,0.920898
29.776013,7.460197,5.187829,1.453337,0.561924,0.885793
30.827597,7.301468,5.310458,1.386296,0.535993,0.850478
31.866780,7.147060,5.430580,1.307317,0.515465,0.815726
32.908650,6.997456,5.548560,1.213878,0.497823,0.783393
33.954232,6.853288,5.662805,1.103625,0.483660,0.756488
34.997800,6.715361,5.771290,0.976135,0.475691,0.738904
36.034063,6.584458,5.872746,0.834495,0.477292,0.734616
37.061676,6.461097,5.966933,0.685357,0.491206,0.746679
38.081629,6.345568,6.054024,0.537177,0.519062,0.776683
39.071779,6.237169,6.126967,0.400769,0.561389,0.821758
39.920783,6.126560,6.139250,0.299236,0.612986,0.859017
40.737945,6.018185,6.127267,0.217949,0.671548,0.896856
42.681070,6.000000,6.000000,0.000000,1.000000,1.000000
