time,x,y,theta,v,omega
0.000000,16.830477,10.629263,1.551244,nan,nan
0.972905,16.589908,10.593403,-2.902950,nan,nan
2.194959,16.321016,10.448366,-2.558475,nan,nan
3.419896,16.069400,10.273814,-2.522153,nan,nan
4.644895,15.820659,10.095161,-2.516841,nan,nan
5.869895,15.572347,9.915912,-2.516064,nan,nan
7.094895,15.324097,9.736577,-2.515950,nan,nan
8.319895,15.075857,9.557228,-2.515934,nan,nan
9.544895,14.827618,9.377878,-2.515931,nan,nan
10.769895,14.579379,9.198528,-2.515931,nan,nan
11.994895,14.331140,9.019178,-2.515931,nan,nan
13.219895,14.082901,8.839827,-2.515931,nan,nan
14.444895,13.834663,8.660477,-2.515931,nan,nan
15.669895,13.586424,8.481126,-2.515931,nan,nan
16.894895,13.338185,8.301776,-2.515931,nan,nan
18.119895,13.089946,8.122426,-2.515931,nan,nan
19.344895,12.841708,7.943075,-2.515931,nan,nan
20.569895,12.593469,7.763725,-2.515931,nan,nan
21.794895,12.345230,7.584374,-2.515931,nan,nan
23.019895,12.096991,7.405024,-2.515931,nan,nan
24.244895,11.848752,7.225674,-2.515931,nan,nan
25.469895,11.600514,7.046323,-2.515931,nan,nan
26.694895,11.352275,6.866973,-2.515931,nan,nan
27.919895,11.104036,6.687622,-2.515931,nan,nan
29.144895,10.855797,6.508272,-2.515931,nan,nan
30.369895,10.607558,6.328922,-2.515931,nan,nan
31.594895,10.359320,6.149571,-2.515931,nan,nan
32.819895,10.111081,5.970221,-2.515931,nan,nan
34.044895,9.862842,5.790870,-2.515931,nan,nan
35.269895,9.614603,5.611520,-2.515931,nan,nan
36.494895,9.366365,5.432170,-2.515931,nan,nan
37.719895,9.118126,5.252819,-2.515931,nan,nan
38.944895,8.869887,5.073469,-2.515931,nan,nan
40.169895,8.621648,4.894118,-2.515931,nan,nan
45.394482,7.633544,4.039912,-0.714083,nan,nan
46.417135,7.438733,3.874344,-2.531068,nan,nan
47.641967,7.181481,3.708258,-2.590164,nan,nan
48.866962,6.919564,3.549552,-2.600792,nan,nan
53.308575,6.202959,2.701334,-0.161129,nan,nan
53.308575,6.202959,2.701334,1.836371,nan,nan
54.525792,6.053199,2.966236,2.288854,nan,nan
54.777829,6.000000,3.000000,1.570800,nan,nan
