time,xc,yc,theta_c,sx,sy
0.000000,5.697353,5.897441,0.794088,1.000000,1.000000
6.434402,6.297489,7.262642,0.717175,0.980193,1.081089
7.263444,6.354119,7.456615,0.714518,0.984974,1.071070
8.092787,6.411882,7.650007,0.710389,0.990804,1.058190
8.921536,6.469440,7.843168,0.705133,0.997452,1.043502
9.749343,6.526114,8.036290,0.698897,1.004876,1.027579
10.576123,6.581547,8.229473,0.691739,1.013121,1.010746
18.831197,6.952924,9.965143,0.409086,1.134652,1.063878
19.754291,6.952945,9.993746,0.298754,1.042697,1.119881
21.939636,7.000000,10.000000,0.000000,1.000000,1.000000
