time,x,y,theta
0.000000,5.580590,9.094189,-0.481653
0.890094,5.760676,9.007268,-0.430534
1.829448,5.928599,8.900181,-0.717890
2.900973,6.059807,8.750234,-0.972370
4.032281,6.172404,8.584930,-0.974928
5.163532,6.284072,8.418995,-0.981185
14.377419,7.430282,6.784460,-0.759191
21.108091,8.124415,5.574090,-0.876734
25.164484,8.593806,4.696195,-0.831894
26.074848,8.707026,4.532221,-1.089952
26.874973,8.794090,4.352150,-1.128383
27.678557,8.879551,4.171311,-1.130969
28.480317,8.964089,3.990036,-1.137274
29.282367,9.047361,3.808179,-1.144706
30.084594,9.129169,3.625659,-1.152960
30.886634,9.209394,3.442439,-1.161628
31.688788,9.287961,3.258504,-1.170678
32.491066,9.364803,3.073843,-1.180083
33.293382,9.439862,2.888453,-1.189763
34.094937,9.513184,2.702371,-1.198869
34.895154,9.587436,2.516655,-1.185155
35.695336,9.666706,2.333034,-1.149740
36.495460,9.754145,2.153177,-1.098900
37.295520,9.851858,1.978711,-1.036436
38.095519,9.961237,1.811340,-0.964522
46.514851,11.502880,0.378280,-0.126879
47.343597,11.341879,0.422550,-0.333761
48.191100,11.169139,0.506968,-0.530634
49.081574,11.010945,0.625256,-0.713935
50.025888,10.878345,0.766584,-0.878573
50.955014,10.780686,0.910501,-1.020440
51.779512,10.712408,1.045950,-1.138592
54.301813,11.202191,1.435059,-1.138592
