time,x,y,vx,vy
0.000000,20.888122,5.999837,nan,nan
1.200000,20.601722,6.089139,nan,nan
2.400000,20.338598,6.233243,nan,nan
3.600000,20.075474,6.377346,nan,nan
4.800000,19.812350,6.521450,nan,nan
6.000000,19.549226,6.665554,nan,nan
7.200000,19.286103,6.809657,nan,nan
8.400000,19.022979,6.953761,nan,nan
9.600000,18.759855,7.097865,nan,nan
10.800000,18.496731,7.241968,nan,nan
12.000000,18.233607,7.386072,nan,nan
13.200000,17.970484,7.530176,nan,nan
14.400000,17.707360,7.674279,nan,nan
15.600000,17.444236,7.818383,nan,nan
16.800000,17.181112,7.962487,nan,nan
18.000000,16.917988,8.106590,nan,nan
19.200000,16.654865,8.250694,nan,nan
20.400000,16.391741,8.394798,nan,nan
21.600000,16.128617,8.538901,nan,nan
22.800000,15.865493,8.683005,nan,nan
24.000000,15.602369,8.827109,nan,nan
25.200000,15.339246,8.971212,nan,nan
26.400000,15.076122,9.115316,nan,nan
27.600000,14.812998,9.259420,nan,nan
28.800000,14.549874,9.403523,nan,nan
30.000000,14.286750,9.547627,nan,nan
31.200000,14.023627,9.691731,nan,nan
32.400000,13.760503,9.835834,nan,nan
33.600000,13.497379,9.979938,nan,nan
34.800000,13.234255,10.124042,nan,nan
36.000000,12.971131,10.268145,nan,nan
37.200000,12.708008,10.412249,nan,nan
38.400000,12.444884,10.556353,nan,nan
39.600000,12.181760,10.700456,nan,nan
40.428933,12.000000,10.800000,nan,nan
