time,x,y,theta,v,omega
0.000000,6.876143,3.285014,1.588793,nan,nan
0.000000,6.876143,3.285014,-2.696893,nan,nan
1.221639,6.716159,3.545168,2.026672,nan,nan
2.446559,6.588574,3.823554,1.985826,nan,nan
3.671557,6.466221,4.104301,1.979514,nan,nan
4.896557,6.344684,4.385402,1.978532,nan,nan
6.121557,6.223273,4.666558,1.978378,nan,nan
7.346557,6.101883,4.947722,1.978354,nan,nan
8.571557,5.980496,5.228888,1.978350,nan,nan
9.796557,5.859109,5.510054,1.978349,nan,nan
11.021557,5.737723,5.791220,1.978349,nan,nan
12.246557,5.616337,6.072386,1.978349,nan,nan
13.471557,5.494950,6.353552,1.978349,nan,nan
14.696557,5.373564,6.634719,1.978349,nan,nan
15.921557,5.252177,6.915885,1.978349,nan,nan
17.146557,5.130791,7.197051,1.978349,nan,nan
18.371557,5.009404,7.478217,1.978349,nan,nan
18.466463,5.000000,7.500000,1.570000,nan,nan
