time,xc,yc,theta_c,sx,sy
0.000000,6.894095,10.024193,-0.455591,1.000000,1.000000
0.874745,7.081439,9.938112,-0.453819,1.008704,0.996583
1.790066,7.260203,9.829998,-0.450279,1.022915,0.991097
2.816321,7.415813,9.677723,-0.442930,1.053327,0.987095
3.938715,7.550259,9.497448,-0.434191,1.100062,0.986965
13.123158,8.710223,8.148842,-0.165094,1.583618,1.111300
14.104365,8.833820,7.981674,-0.149689,1.632294,1.101392
15.232850,8.957787,7.795604,-0.149341,1.688627,1.109067
16.364203,9.082801,7.609761,-0.149515,1.744462,1.117400
17.495557,9.208331,7.424185,-0.149799,1.799977,1.125896
18.626910,9.334197,7.238781,-0.150141,1.855284,1.134492
26.860549,10.392484,5.634753,-0.074141,2.022754,1.194510
27.858740,10.509599,5.454093,-0.079097,2.048527,1.205002
28.701106,10.596134,5.270879,-0.085093,2.036110,1.210680
29.505128,10.666024,5.086729,-0.091970,2.002983,1.214502
30.305239,10.730105,4.902084,-0.099266,1.963573,1.217926
31.105347,10.793427,4.717101,-0.106700,1.924611,1.221536
31.905872,10.857351,4.531857,-0.114189,1.887774,1.225472
32.706948,10.921747,4.346393,-0.121750,1.852722,1.229717
33.508362,10.986240,4.160730,-0.129418,1.818852,1.234239
34.309182,11.050790,3.974953,-0.137139,1.786058,1.238965
35.109222,11.119253,3.791199,-0.143055,1.758465,1.242224
35.909177,11.189925,3.611654,-0.145995,1.732058,1.241969
36.709069,11.260163,3.437963,-0.145296,1.702327,1.236690
37.508919,11.329138,3.271508,-0.140149,1.668250,1.225337
38.308753,11.396426,3.113561,-0.129599,1.630149,1.207200
52.358227,11.982586,1.982914,1.238317,0.990909,1.114635
53.222817,11.957301,2.007014,1.365547,1.000783,1.113787
54.970174,12.000000,2.000000,1.570000,1.000000,1.000000
