time,x,y,theta
0.000000,7.993308,9.161385,-0.455591
0.874745,8.193307,9.072932,0.000000
1.790066,8.393309,8.961745,0.000000
2.816321,8.593321,8.801059,0.000000
3.938715,8.793346,8.604271,0.000000
13.123158,10.791986,7.473977,0.000000
14.104365,10.991945,7.331888,0.000000
15.232850,11.191940,7.132905,0.000000
16.364203,11.391935,6.932906,0.000000
17.495557,11.591929,6.732906,0.000000
18.626910,11.791922,6.532905,0.000000
26.860549,13.123672,5.083141,0.000000
27.858740,13.272892,4.883123,0.000000
28.701106,13.338906,4.683146,0.000000
29.505128,13.359503,4.483198,0.000000
30.305239,13.365411,4.283263,0.000000
31.105347,13.371001,4.083332,0.000000
31.905872,13.379958,3.883401,0.000000
32.706948,13.391678,3.683475,0.000000
33.508362,13.404941,3.483561,0.000000
34.309182,13.419603,3.283894,0.000000
35.109222,13.446474,3.090575,0.000000
35.909177,13.479381,2.909514,0.000000
36.709069,13.510125,2.744827,0.000000
37.508919,13.536983,2.599742,0.000000
38.308753,13.560280,2.477090,0.000000
52.358227,12.731372,3.157123,0.000000
53.222817,12.553552,3.280004,0.000000
54.970174,12.292245,3.366491,0.000000
