time,x,y,theta
0.000000,5.501247,10.416309,1.504055
6.329474,5.851430,9.632929,2.384988
10.309325,6.237026,9.683380,2.383251
11.239747,6.377151,9.540467,2.327830
12.160368,6.512776,9.393353,2.309353
13.069878,6.646264,9.244340,2.297100
13.972672,6.777998,9.093786,2.285699
14.870359,6.908006,8.941746,2.274313
24.668626,7.249245,8.068657,2.798191
28.628460,7.710891,7.600601,2.002737
29.633385,7.800251,7.421823,2.051772
30.637996,7.895405,7.245987,2.075051
31.624801,7.993718,7.071852,2.090128
32.597940,8.094343,6.899016,2.102440
33.564322,8.196959,6.727347,2.113582
34.527573,8.301402,6.556780,2.124000
35.489375,8.407549,6.387268,2.133809
36.450452,8.515287,6.218765,2.143028
37.411014,8.624509,6.051221,2.151645
38.370967,8.735102,5.884580,2.159643
46.368926,9.861347,4.232450,2.077495
48.760966,10.173558,3.722410,2.266096
49.559993,10.290189,3.560238,2.147364
50.359315,10.386357,3.385069,2.023589
51.158838,10.459741,3.199147,1.894804
51.958578,10.508683,3.005295,1.764828
52.758600,10.533083,2.806783,1.641381
53.558955,10.535045,2.606704,1.534112
54.359633,10.518723,2.407201,1.451027
59.276862,10.658223,1.333126,1.451027
