time,x,y,theta,v,omega
0.000000,17.895171,9.791629,0.017416,nan,nan
0.000000,17.895171,9.791629,-1.980084,nan,nan
1.222072,17.651198,9.607731,-2.583855,nan,nan
2.447009,17.387669,9.451744,-2.620019,nan,nan
3.672008,17.121622,9.300060,-2.625300,nan,nan
4.897008,16.855215,9.149009,-2.626072,nan,nan
6.122008,16.588755,8.998051,-2.626185,nan,nan
7.347008,16.322288,8.847107,-2.626201,nan,nan
8.572008,16.055820,8.696164,-2.626204,nan,nan
9.797008,15.789351,8.545222,-2.626204,nan,nan
11.022008,15.522883,8.394279,-2.626204,nan,nan
12.247008,15.256414,8.243337,-2.626204,nan,nan
13.472008,14.989946,8.092395,-2.626204,nan,nan
14.697008,14.723477,7.941453,-2.626204,nan,nan
15.922008,14.457009,7.790510,-2.626204,nan,nan
17.147008,14.190540,7.639568,-2.626204,nan,nan
18.372008,13.924072,7.488626,-2.626204,nan,nan
19.597008,13.657603,7.337683,-2.626204,nan,nan
20.822008,13.391134,7.186741,-2.626204,nan,nan
22.047008,13.124666,7.035799,-2.626204,nan,nan
23.272008,12.858197,6.884856,-2.626204,nan,nan
24.497008,12.591729,6.733914,-2.626204,nan,nan
25.722008,12.325260,6.582972,-2.626204,nan,nan
26.947008,12.058792,6.432030,-2.626204,nan,nan
28.172008,11.792323,6.281087,-2.626204,nan,nan
29.397008,11.525855,6.130145,-2.626204,nan,nan
30.622008,11.259386,5.979203,-2.626204,nan,nan
31.847008,10.992918,5.828260,-2.626204,nan,nan
33.072008,10.726449,5.677318,-2.626204,nan,nan
34.297008,10.459980,5.526376,-2.626204,nan,nan
35.522008,10.193512,5.375434,-2.626204,nan,nan
36.747008,9.927043,5.224491,-2.626204,nan,nan
37.972008,9.660575,5.073549,-2.626204,nan,nan
39.197008,9.394106,4.922607,-2.626204,nan,nan
40.422008,9.127638,4.771664,-2.626204,nan,nan
41.647008,8.861169,4.620722,-2.626204,nan,nan
42.872008,8.594701,4.469780,-2.626204,nan,nan
44.097008,8.328232,4.318837,-2.626204,nan,nan
45.322008,8.061764,4.167895,-2.626204,nan,nan
46.547008,7.795295,4.016953,-2.626204,nan,nan
47.772008,7.528826,3.866011,-2.626204,nan,nan
48.997008,7.262358,3.715068,-2.626204,nan,nan
50.222008,6.995889,3.564126,-2.626204,nan,nan
54.913455,6.202222,2.700589,-0.159388,nan,nan
54.913455,6.202222,2.700589,1.838112,nan,nan
56.130946,6.052779,2.965748,2.283818,nan,nan
56.382622,6.000000,3.000000,1.570800,nan,nan
