time,xc,yc,theta_c,sx,sy
0.000000,5.567716,5.956690,0.008687,1.000000,1.000000
5.257025,5.919134,7.096659,-0.072515,1.173518,1.040321
6.388688,6.001012,7.292906,-0.065602,1.255734,1.039671
7.520205,6.095333,7.489355,-0.060104,1.329300,1.042229
8.651517,6.196762,7.684144,-0.054566,1.397840,1.045535
9.681650,6.289590,7.878010,-0.049807,1.446072,1.048543
10.543277,6.357560,8.071355,-0.046352,1.454308,1.050210
11.346028,6.405993,8.264277,-0.043637,1.432082,1.050795
12.146182,6.448037,8.456915,-0.041004,1.399186,1.051044
12.946499,6.490046,8.649389,-0.038191,1.365264,1.051335
13.746537,6.533246,8.841761,-0.035156,1.332410,1.051748
14.546561,6.577217,9.034062,-0.031915,1.300232,1.052268
15.346585,6.621503,9.226308,-0.028480,1.268201,1.052875
16.146609,6.665913,9.418510,-0.024846,1.236118,1.053565
16.946631,6.710409,9.610677,-0.021001,1.203981,1.054346
17.746652,6.755000,9.802811,-0.016930,1.171833,1.055226
18.546672,6.799691,9.994915,-0.012615,1.139701,1.056217
19.346692,6.844484,10.186988,-0.008035,1.107601,1.057330
20.146668,6.889390,10.379017,-0.003171,1.075563,1.058579
20.946581,6.934482,10.570943,0.001960,1.043690,1.059947
22.263407,7.000000,10.800000,0.000000,1.000000,1.000000
