time,x,y,vx,vy
0.000000,17.897044,8.574568,nan,nan
1.200000,17.597581,8.592509,nan,nan
2.400000,17.327358,8.462204,nan,nan
3.600000,17.057135,8.331899,nan,nan
4.800000,16.786912,8.201594,nan,nan
6.000000,16.516689,8.071288,nan,nan
7.200000,16.246466,7.940983,nan,nan
8.400000,15.976243,7.810678,nan,nan
9.600000,15.706019,7.680373,nan,nan
10.800000,15.435796,7.550067,nan,nan
12.000000,15.165573,7.419762,nan,nan
13.200000,14.895350,7.289457,nan,nan
14.400000,14.625127,7.159152,nan,nan
15.600000,14.354904,7.028847,nan,nan
16.800000,14.084681,6.898541,nan,nan
18.000000,13.814457,6.768236,nan,nan
19.200000,13.544234,6.637931,nan,nan
20.400000,13.274011,6.507626,nan,nan
21.600000,13.003788,6.377320,nan,nan
22.800000,12.733565,6.247015,nan,nan
24.000000,12.463342,6.116710,nan,nan
25.200000,12.193119,5.986405,nan,nan
26.400000,11.922895,5.856100,nan,nan
27.600000,11.652672,5.725794,nan,nan
28.800000,11.382449,5.595489,nan,nan
30.000000,11.112226,5.465184,nan,nan
31.200000,10.842003,5.334879,nan,nan
32.400000,10.571780,5.204573,nan,nan
33.600000,10.301557,5.074268,nan,nan
34.800000,10.031333,4.943963,nan,nan
36.000000,9.761110,4.813658,nan,nan
37.200000,9.490887,4.683353,nan,nan
38.400000,9.220664,4.553047,nan,nan
39.600000,8.950441,4.422742,nan,nan
40.800000,8.680218,4.292437,nan,nan
42.000000,8.409995,4.162132,nan,nan
43.200000,8.139771,4.031826,nan,nan
44.400000,7.869548,3.901521,nan,nan
45.600000,7.599325,3.771216,nan,nan
46.800000,7.329102,3.640911,nan,nan
48.000000,7.058879,3.510606,nan,nan
49.200000,6.788656,3.380300,nan,nan
50.400000,6.518432,3.249995,nan,nan
51.600000,6.248209,3.119690,nan,nan
52.702242,6.000000,3.000000,nan,nan
