time,x,y,theta
0.000000,3.705000,0.875000,1.570000
13.328073,3.930807,2.230903,1.684119
25.385638,3.957035,3.499498,1.468770
31.398554,3.840255,3.915495,1.583726
32.197676,3.834546,4.011220,1.658211
32.997511,3.824254,4.106497,1.691737
33.797475,3.811363,4.201623,1.713909
34.597471,3.796925,4.296531,1.726591
35.397494,3.781708,4.391320,1.732075
36.197538,3.766294,4.486079,1.732088
36.997593,3.751122,4.580880,1.727967
37.797653,3.736522,4.675770,1.720754
38.597713,3.722741,4.770783,1.711279
39.397768,3.709954,4.865935,1.700209
40.197814,3.698282,4.961228,1.688096
40.997851,3.687800,5.056658,1.675395
57.160365,3.664923,6.996025,1.545161
57.959877,3.668106,7.083037,1.524961
59.722702,3.705000,7.291333,1.524961
